8190           8190ZE20540           FLA18190FL21000000010.000                    20180112MB1B                9I3    
8190           8190ZE20540           FLA18190FL21000000010.000                    20180112MB1B                9I3    
8190           8190ZQ88000           CL218190CL51000000020.000                    20180112MB1B                9I3    
8190           8190ZR45000           CL218190CL51000000020.000                    20180112MB1B                9I3    
8190           8190ZQ88990           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ89110           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ88520           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ88520           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ83610           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ83610           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ90390           CL218190CL51000000020.000                    20180112MB1B                9I3    
8190           8190ZQ91900           CL218190CL51000000020.000                    20180112MB1B                9I3    
8190           8190ZQ91900           CL218190CL51000000020.000                    20180112MB1B                9I3    
8190           8190ZQ89740           CL218190CL51000000020.000                    20180112MB1B                9I3    
8190           8190ZQ89650           CL218190CL51000000020.000                    20180112MB1B                9I3    
8190           8190ZQ92030           CL218190CL51000000020.000                    20180112MB1B                9I3    
8190           8190ZP67570           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP67570           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP67570           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP67570           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP67570           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP67570           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20180112MB1B                9I3    
8190           8190ZQ87660           CL218190CL51000000020.000                    20180112MB1B                9I3    
8190           8190ZQ88090           CL218190CL51000000020.000                    20180112MB1B                9I3    
8190           8190ZQ89530           CL218190CL51000000020.000                    20180112MB1B                9I3    
8190           8190ZQ89940           CL218190CL51000000020.000                    20180112MB1B                9I3    
8190           8190ZQ91970           CL218190CL51000000020.000                    20180112MB1B                9I3    
8190           8190ZQ91970           CL218190CL51000000020.000                    20180112MB1B                9I3    
8190           8190ZQ91970           CL218190CL51000000020.000                    20180112MB1B                9I3    
8190           8190ZQ87760           CL218190CL51000000020.000                    20180112MB1B                9I3    
8190           8190ZQ89380           CL218190CL51000000020.000                    20180112MB1B                9I3    
8190           8190ZQ89830           CL218190CL51000000020.000                    20180112MB1B                9I3    
8190           8190ZQ89830           CL218190CL51000000020.000                    20180112MB1B                9I3    
8190           8190ZQ87890           CL218190CL51000000020.000                    20180112MB1B                9I3    
8190           8190ZQ90040           CL218190CL51000000020.000                    20180112MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20180112MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZP63900           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190WZ9110C           SX218190SX51000000001.000                    20180112MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180112MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180112MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180112MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180112MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180112MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180112MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180112MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180112MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180112MB1B                9I3    
8190           8190WZ9110C           SX218190SX51000000001.000                    20180112MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180112MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180112MB1B                9I3    
8190           8190ZP67440           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP67440           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP67440           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP65080           SXA08190SX21000000016.000                    20180112MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180112MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180112MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180112MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180112MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180112MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180112MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180112MB1B                9I3    
