8190           8190ZQ84470           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ84470           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ84310           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ84310           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ88380           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ86740           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ86740           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ86740           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ86740           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ86740           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ87200           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ87200           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ85910           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ88380           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ88380           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ94930           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20181013MB1B                9I3    
8190           8190ZQ83610           SX218190SX51000000015.000                    20181013MB1B                9I3    
8190           8190ZQ88320           SX218190SX51000000015.000                    20181013MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20181013MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20181013MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20181013MB1B                9I3    
8190           8190ZQ92710           SX218190SX51000000015.000                    20181013MB1B                9I3    
8190           8190ZQ92710           SX218190SX51000000015.000                    20181013MB1B                9I3    
8190           8190ZQ98550           SX218190SX51000000008.000                    20181013MB1B                9I3    
8190           8190ZQ98550           SX218190SX51000000008.000                    20181013MB1B                9I3    
8190           8190ZQ98550           SX218190SX51000000008.000                    20181013MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20181013MB1B                9I3    
8190           8190ZQ84350           SX218190SX51000000015.000                    20181013MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20181013MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20181013MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20181013MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20181013MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20181013MB1B                9I3    
8190           8190ZQ84100           SX218190SX51000000015.000                    20181013MB1B                9I3    
8190           8190ZQ84100           SX218190SX51000000015.000                    20181013MB1B                9I3    
8190           8190ZS06040           SX218190SX51000000015.000                    20181013MB1B                9I3    
8190           8190ZQ84350           SX218190SX51000000015.000                    20181013MB1B                9I3    
8190           8190ZQ84350           SX218190SX51000000015.000                    20181013MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20181013MB1B                9I3    
8190           8190ZQ99100           SX218190SX51000000008.000                    20181013MB1B                9I3    
8190           8190ZQ99100           SX218190SX51000000008.000                    20181013MB1B                9I3    
8190           8190ZQ96340           SX218190SX51000000008.000                    20181013MB1B                9I3    
8190           8190ZQ99790           SX218190SX51000000008.000                    20181013MB1B                9I3    
8190           8190ZQ95400           SX218190SX51000000008.000                    20181013MB1B                9I3    
8190           8190ZQ94750           SX218190SX51000000008.000                    20181013MB1B                9I3    
8190           8190ZQ94750           SX218190SX51000000008.000                    20181013MB1B                9I3    
8190           8190ZQ98270           SX218190SX51000000008.000                    20181013MB1B                9I3    
8190           8190ZQ98350           SX218190SX51000000008.000                    20181013MB1B                9I3    
8190           8190ZQ96960           SX218190SX51000000008.000                    20181013MB1B                9I3    
8190           8190ZQ96960           SX218190SX51000000008.000                    20181013MB1B                9I3    
8190           8190ZQ96450           SX218190SX51000000008.000                    20181013MB1B                9I3    
8190           8190ZQ96450           SX218190SX51000000008.000                    20181013MB1B                9I3    
8190           8190ZQ95270           SX218190SX51000000008.000                    20181013MB1B                9I3    
8190           8190ZQ95270           SX218190SX51000000008.000                    20181013MB1B                9I3    
8190           8190ZQ95040           SX218190SX51000000008.000                    20181013MB1B                9I3    
8190           8190ZR01040           SX218190SX51000000008.000                    20181013MB1B                9I3    
8190           8190ZQ98440           SX218190SX51000000008.000                    20181013MB1B                9I3    
8190           8190ZQ98440           SX218190SX51000000008.000                    20181013MB1B                9I3    
8190           8190ZQ95910           SX218190SX51000000008.000                    20181013MB1B                9I3    
8190           8190ZQ95910           SX218190SX51000000008.000                    20181013MB1B                9I3    
8190           8190ZQ95770           SX218190SX51000000008.000                    20181013MB1B                9I3    
8190           8190ZQ95770           SX218190SX51000000008.000                    20181013MB1B                9I3    
8190           8190ZQ95600           SX218190SX51000000008.000                    20181013MB1B                9I3    
8190           8190ZQ95600           SX218190SX51000000008.000                    20181013MB1B                9I3    
8190           8190ZQ95040           SX218190SX51000000008.000                    20181013MB1B                9I3    
