8190           8190ZP66690           SXA08190SX21000000060.000                    20181019MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20181019MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20181019MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20181019MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20181019MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181019MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181019MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181019MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181019MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181019MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181019MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181019MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181019MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181019MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181019MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20181019MB1B                9I3    
8190           8190ZP67230           SXA08190SX21000000030.000                    20181019MB1B                9I3    
8190           8190ZP67230           SXA08190SX21000000030.000                    20181019MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20181019MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20181019MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20181019MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20181019MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20181019MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20181019MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20181019MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20181019MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20181019MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20181019MB1B                9I3    
8190           8190ZP67230           SXA08190SX21000000030.000                    20181019MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20181019MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181019MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181019MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20181019MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20181019MB1B                9I3    
8190           8190ZP68020           SXA08190SX21000000016.000                    20181019MB1B                9I3    
8190           8190ZP68020           SXA08190SX21000000016.000                    20181019MB1B                9I3    
8190           8190ZP66840           SXA08190SX21000000016.000                    20181019MB1B                9I3    
8190           8190ZP66840           SXA08190SX21000000016.000                    20181019MB1B                9I3    
8190           8190ZP65230           SXA08190SX21000000016.000                    20181019MB1B                9I3    
8190           8190ZP65190           SXA08190SX21000000016.000                    20181019MB1B                9I3    
8190           8190ZP65190           SXA08190SX21000000016.000                    20181019MB1B                9I3    
8190           8190ZP64390           SXA08190SX21000000016.000                    20181019MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20181019MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20181019MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20181019MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181019MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181019MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181019MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181019MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181019MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181019MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181019MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181019MB1B                9I3    
8190           8190ZP68000           SXA08190SX21000000030.000                    20181019MB1B                9I3    
8190           8190ZP68000           SXA08190SX21000000030.000                    20181019MB1B                9I3    
8190           8190ZP64390           SXA08190SX21000000016.000                    20181019MB1B                9I3    
