8190           8190ZR10740           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZR10680           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZR10740           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ94470           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ94470           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZR10720           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZT45980           FL218190FL51000000020.000                    20171201MB1B                9I3    
8190           8190ZU02860           FL218190FL51000000020.000                    20171201MB1B                9I3    
8190           8190ZU02860           FL218190FL51000000020.000                    20171201MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ95140           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ95320           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ94570           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ94730           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ94400           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZT45170           FL218190FL51000000020.000                    20171201MB1B                9I3    
8190           8190ZT91380           FL218190FL51000000020.000                    20171201MB1B                9I3    
8190           8190ZQ91320           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ88320           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ86640           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ86640           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ86640           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ88320           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ88320           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ86670           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ86670           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ88380           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ95280           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ95280           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ94890           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ94730           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ86670           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ86960           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ86960           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ95010           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ95010           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ94420           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ94710           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ94440           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ94440           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ89210           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ89210           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ86670           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ86670           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ94570           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZR10680           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZR10680           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ95320           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ94800           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ94440           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ94420           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ88520           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ88290           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ88970           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ88970           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ86520           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ98720           SX218190SX51000000008.000                    20171201MB1B                9I3    
8190           8190ZQ98720           SX218190SX51000000008.000                    20171201MB1B                9I3    
8190           8190ZQ98670           SX218190SX51000000008.000                    20171201MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ83610           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ88290           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZR10740           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ94400           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ88520           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ88990           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ84650           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ94750           SX218190SX51000000008.000                    20171201MB1B                9I3    
8190           8190ZQ95180           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ89210           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ83610           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ86110           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ86110           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ86640           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ88400           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ88990           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ88990           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ88320           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ86250           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ86250           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ98350           SX218190SX51000000008.000                    20171201MB1B                9I3    
8190           8190ZQ94750           SX218190SX51000000008.000                    20171201MB1B                9I3    
8190           8190ZQ88970           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ88520           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ88520           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ88520           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ88520           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ83610           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ94420           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZR01310           SX518190SX91000000008.000                    20171201MB1B                9I3    
8190           8190ZR00600           SX518190SX91000000008.000                    20171201MB1B                9I3    
8190           8190ZR01110           SX518190SX91000000008.000                    20171201MB1B                9I3    
8190           8190ZR01080           SX518190SX91000000008.000                    20171201MB1B                9I3    
8190           8190ZR01080           SX518190SX91000000008.000                    20171201MB1B                9I3    
8190           8190ZQ95280           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ94570           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZP61800           CLA08190CL21000000040.000                    20171201MB1B                9I3    
8190           8190ZQ88990           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ88990           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ88990           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZR00600           SX518190SX91000000008.000                    20171201MB1B                9I3    
8190           8190ZR02220           SX518190SX91000000008.000                    20171201MB1B                9I3    
8190           8190ZR01080           SX518190SX91000000008.000                    20171201MB1B                9I3    
8190           8190ZR00830           SX518190SX91000000008.000                    20171201MB1B                9I3    
8190           8190ZR00570           SX518190SX91000000008.000                    20171201MB1B                9I3    
8190           8190ZQ94890           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ95320           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZR00700           SX518190SX91000000008.000                    20171201MB1B                9I3    
8190           8190ZR00660           SX518190SX91000000008.000                    20171201MB1B                9I3    
8190           8190ZR00920           SX518190SX91000000008.000                    20171201MB1B                9I3    
8190           8190ZR00570           SX518190SX91000000008.000                    20171201MB1B                9I3    
8190           8190ZR00540           SX518190SX91000000008.000                    20171201MB1B                9I3    
8190           8190ZR00660           SX518190SX91000000008.000                    20171201MB1B                9I3    
8190           8190ZQ88990           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZP61810           CLA08190CL21000000040.000                    20171201MB1B                9I3    
8190           8190ZP61800           CLA08190CL21000000040.000                    20171201MB1B                9I3    
8190           8190ZP61800           CLA08190CL21000000040.000                    20171201MB1B                9I3    
8190           8190ZR10720           SX518190SX91000000015.000                    20171201MB1B                9I3    
