8190           8190ZE20750           FLA18190FL21000000010.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : ZE20750 8190 FLA1
8190           8190ZE20750           FLA18190FL21000000010.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : ZE20750 8190 FLA1
8190           8190ZE20750           FLA18190FL21000000010.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : ZE20750 8190 FLA1
8190           8190ZQ89830           CL218190CL51000000020.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 15 PC : ZQ89830 8190 CL21
8190           8190ZQ87600           CL218190CL51000000020.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 19 PC : ZQ87600 8190 CL21
8190           8190ZE20540           FLA18190FL21000000010.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : ZE20540 8190 FLA1
8190           8190ZE20540           FLA18190FL21000000010.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : ZE20540 8190 FLA1
8190           8190ZE20750           FLA18190FL21000000010.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : ZE20750 8190 FLA1
8190           8190ZE20750           FLA18190FL21000000010.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : ZE20750 8190 FLA1
8190           8190ZQ89740           CL218190CL51000000020.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 17 PC : ZQ89740 8190 CL21
8190           8190ZE20750           FLA18190FL21000000010.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : ZE20750 8190 FLA1
8190           8190ZE20750           FLA18190FL21000000010.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : ZE20750 8190 FLA1
8190           8190ZQ90320           CL218190CL51000000020.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 11 PC : ZQ90320 8190 CL21
8190           8190ZE20750           FLA18190FL21000000010.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : ZE20750 8190 FLA1
8190           8190ZQ89740           CL218190CL51000000020.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 17 PC : ZQ89740 8190 CL21
8190           8190ZE20750           FLA18190FL21000000010.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : ZE20750 8190 FLA1
8190           8190ZQ87600           CL218190CL51000000020.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 19 PC : ZQ87600 8190 CL21
8190           8190ZP62910           FLA08190FL21000000040.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 40 PC : ZP62910 8190 FLA0
8190           8190ZP62910           FLA08190FL21000000040.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 40 PC : ZP62910 8190 FLA0
8190           8190ZP62910           FLA08190FL21000000040.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 40 PC : ZP62910 8190 FLA0
8190           8190ZP63800           FLA08190FL21000000040.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 40 PC : ZP63800 8190 FLA0
8190           8190ZP63800           FLA08190FL21000000040.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 40 PC : ZP63800 8190 FLA0
8190           8190ZP62910           FLA08190FL21000000040.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 40 PC : ZP62910 8190 FLA0
8190           8190ZP62910           FLA08190FL21000000040.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 40 PC : ZP62910 8190 FLA0
8190           8190ZP62910           FLA08190FL21000000040.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 40 PC : ZP62910 8190 FLA0
8190           8190ZP62910           FLA08190FL21000000040.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 40 PC : ZP62910 8190 FLA0
8190           8190ZP62910           FLA08190FL21000000040.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 40 PC : ZP62910 8190 FLA0
8190           8190ZP62910           FLA08190FL21000000040.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 40 PC : ZP62910 8190 FLA0
8190           8190ZP62910           FLA08190FL21000000040.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 40 PC : ZP62910 8190 FLA0
8190           8190ZP62910           FLA08190FL21000000040.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 40 PC : ZP62910 8190 FLA0
8190           8190ZP62910           FLA08190FL21000000040.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 40 PC : ZP62910 8190 FLA0
8190           8190ZP62910           FLA08190FL21000000040.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 40 PC : ZP62910 8190 FLA0
8190           8190ZP62910           FLA08190FL21000000040.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 40 PC : ZP62910 8190 FLA0
8190           8190ZQ90160           CL218190CL51000000020.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 13 PC : ZQ90160 8190 CL21
8190           8190ZQ90160           CL218190CL51000000020.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 13 PC : ZQ90160 8190 CL21
8190           8190ZP67140           SXA08190SX21000000030.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : ZP67140 8190 SXA0
8190           8190ZP67140           SXA08190SX21000000030.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : ZP67140 8190 SXA0
8190           8190WZ70060           SX218190SX51000000005.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : WZ70060 8190 SX21
8190           8190WZ70060           SX218190SX51000000005.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : WZ70060 8190 SX21
8190           8190ZP67280           SXA08190SX21000000030.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : ZP67280 8190 SXA0
8190           8190ZP67280           SXA08190SX21000000030.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : ZP67280 8190 SXA0
8190           8190ZP66770           SXA08190SX21000000016.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 16 PC : ZP66770 8190 SXA0
8190           8190ZP66770           SXA08190SX21000000016.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 16 PC : ZP66770 8190 SXA0
8190           8190ZE22610           FLA28190FL21000000030.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : ZE22610 8190 FLA2
8190           8190ZE22560           FLA28190FL21000000030.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : ZE22560 8190 FLA2
8190           8190ZE22610           FLA28190FL21000000030.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : ZE22610 8190 FLA2
8190           8190ZE22600           FLA28190FL21000000030.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : ZE22600 8190 FLA2
8190           8190ZE22600           FLA28190FL21000000030.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : ZE22600 8190 FLA2
8190           8190ZE22570           FLA28190FL21000000030.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : ZE22570 8190 FLA2
8190           8190ZE22570           FLA28190FL21000000030.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : ZE22570 8190 FLA2
8190           8190ZE22570           FLA28190FL21000000030.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : ZE22570 8190 FLA2
8190           8190ZY13520           VNA08190VN51000000120.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 53 PC : ZY13520 8190 VNA0
8190           8190ZY13520           VNA08190VN51000000120.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 53 PC : ZY13520 8190 VNA0
8190           8190ZY13520           VNA08190VN51000000120.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 53 PC : ZY13520 8190 VNA0
8190           8190ZY13520           VNA08190VN51000000120.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 53 PC : ZY13520 8190 VNA0
8190           8190ZY13520           VNA08190CL51000000120.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 53 PC : ZY13520 8190 VNA0
8190           8190ZY13520           VNA08190CL51000000120.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 53 PC : ZY13520 8190 VNA0
8190           8190ZP66910           SXA08190SX21000000030.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : ZP66910 8190 SXA0
8190           8190ZP66910           SXA08190SX21000000030.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : ZP66910 8190 SXA0
