8190           8190ZP66950           SXA08190SX21000000030.000                    20180606MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20180606MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20180606MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20180606MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20180606MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20180606MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20180606MB1B                9I3    
8190           8190ZP66210           SXA08190SX21000000030.000                    20180606MB1B                9I3    
8190           8190ZP66210           SXA08190SX21000000030.000                    20180606MB1B                9I3    
8190           8190ZP66210           SXA08190SX21000000030.000                    20180606MB1B                9I3    
8190           8190ZP67980           SXA08190SX21000000030.000                    20180606MB1B                9I3    
8190           8190ZP67980           SXA08190SX21000000030.000                    20180606MB1B                9I3    
8190           8190ZP67980           SXA08190SX21000000030.000                    20180606MB1B                9I3    
8190           8190ZP67980           SXA08190SX21000000030.000                    20180606MB1B                9I3    
8190           8190ZP68020           SXA08190SX21000000016.000                    20180606MB1B                9I3    
8190           8190ZP68020           SXA08190SX21000000016.000                    20180606MB1B                9I3    
8190           8190ZP68040           SXA08190SX21000000016.000                    20180606MB1B                9I3    
8190           8190ZP68040           SXA08190SX21000000016.000                    20180606MB1B                9I3    
8190           8190ZP66210           SXA08190SX21000000030.000                    20180606MB1B                9I3    
8190           8190ZP66210           SXA08190SX21000000030.000                    20180606MB1B                9I3    
8190           8190ZP66210           SXA08190SX21000000030.000                    20180606MB1B                9I3    
8190           8190ZP66210           SXA08190SX21000000030.000                    20180606MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20180606MB1B                9I3    
8190           8190ZP61990           CLA08190CL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP62090           CLA08190CL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP62100           CLA08190CL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP62100           CLA08190CL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP62110           CLA08190CL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP62120           CLA08190CL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP62120           CLA08190CL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP62140           CLA08190CL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP62560           CLA08190CL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP66740           SXA08190SX21000000030.000                    20180606MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP62090           CLA08190CL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP62090           CLA08190CL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP62020           CLA08190CL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP62030           CLA08190CL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP62030           CLA08190CL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP62070           CLA08190CL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP62070           CLA08190CL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP62000           CLA08190CL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP62000           CLA08190CL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP62000           CLA08190CL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP62000           CLA08190CL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP62000           CLA08190CL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP63650           FLA08190FL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP63670           FLA08190FL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP66740           SXA08190SX21000000030.000                    20180606MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP64770           FLA08190FL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP64740           FLA08190FL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP63820           FLA08190FL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP63820           FLA08190FL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP63820           FLA08190FL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP63820           FLA08190FL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP63820           FLA08190FL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP63710           FLA08190FL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP63710           FLA08190FL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP61870           CLA08190CL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP62180           CLA08190CL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP62180           CLA08190CL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP63520           FLA08190FL21000000040.000                    20180606MB1B                9I3    
8190           8190ZQ86250           SX218190SX51000000015.000                    20180606MB1B                9I3    
8190           8190ZP61610           CLA08190CL21000000040.000                    20180606MB1B                9I3    
8190           8190ZQ83610           SX218190SX51000000015.000                    20180606MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20180606MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20180606MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20180606MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20180606MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20180606MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20180606MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20180606MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20180606MB1B                9I3    
8190           8190ZP61390           CLA08190CL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP61390           CLA08190CL21000000040.000                    20180606MB1B                9I3    
8190           8190ZQ84100           SX218190SX51000000015.000                    20180606MB1B                9I3    
8190           8190ZP61610           CLA08190CL21000000040.000                    20180606MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20180606MB1B                9I3    
8190           8190ZQ93230           SX218190SX51000000015.000                    20180606MB1B                9I3    
8190           8190ZQ93230           SX218190SX51000000015.000                    20180606MB1B                9I3    
8190           8190ZQ84860           SX218190SX51000000015.000                    20180606MB1B                9I3    
8190           8190ZQ84860           SX218190SX51000000015.000                    20180606MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20180606MB1B                9I3    
8190           8190ZQ84650           SX218190SX51000000015.000                    20180606MB1B                9I3    
8190           8190ZP61610           CLA08190CL21000000040.000                    20180606MB1B                9I3    
8190           8190ZQ84650           SX218190SX51000000015.000                    20180606MB1B                9I3    
8190           8190ZQ84650           SX218190SX51000000015.000                    20180606MB1B                9I3    
8190           8190ZP61610           CLA08190CL21000000040.000                    20180606MB1B                9I3    
