8190           8190ZQ86690           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20180707MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20180707MB1B                9I3    
8190           8190ZU03090           FL218190FA0R000000054.000                    20180706MB1B                9I3    
8190           8190ZU03090           FL218190FL51000000020.000                    20180706MB1B                9I3    
8190           8190ZA1479C           SX218190SX51000000001.000                    20180705MB1B                9I3    
8190           8190ZA1479C           SX218190SX51000000001.000                    20180705MB1B                9I3    
8190           8190ZU03090           FL218190FL51000000020.000                    20180705MB1B                9I3    
8190           8190ZT97850           CL218190CL51000000020.000                    20180704MB1B                9I3    
8190           8190W93573E           CLA08190CL21000000040.000                    20180706MB1B                9I3    
8190           8190VAS1220           SX218190SX51000000030.000                    20180706MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20180707MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20180707MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180707MB1B                9I3    
8190           8190ZP63720           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP63480           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP63480           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP63480           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP63440           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP63440           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP63440           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP63440           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP63390           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP63390           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP63390           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP63610           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP63610           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP63720           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP63720           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP63690           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP63690           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP63680           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP63570           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP63570           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP63610           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP63610           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP63610           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP63370           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP63240           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZW92220           CLA08190CL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP61630           CLA08190CL21000000020.000                    20180707MB1B                9I3    
8190           8190ZP61620           CLA08190CL21000000020.000                    20180707MB1B                9I3    
8190           8190ZP61620           CLA08190CL21000000020.000                    20180707MB1B                9I3    
8190           8190ZP61560           CLA08190CL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP61560           CLA08190CL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP61520           CLA08190CL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP61520           CLA08190CL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP61490           CLA08190CL21000000020.000                    20180707MB1B                9I3    
8190           8190ZP61490           CLA08190CL21000000020.000                    20180707MB1B                9I3    
8190           8190ZP61470           CLA08190CL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP61650           CLA08190CL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP61650           CLA08190CL21000000040.000                    20180707MB1B                9I3    
8190           8190ZW92220           CLA08190CL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP61890           CLA08190CL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP61860           CLA08190CL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP61860           CLA08190CL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP61860           CLA08190CL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP61850           CLA08190CL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP61840           CLA08190CL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP61770           CLA08190CL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP61830           CLA08190CL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP61830           CLA08190CL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP61470           CLA08190CL21000000040.000                    20180707MB1B                9I3    
8190           8190WZ9137C           SX218190SX51000000001.000                    20180707MB1B                9I3    
8190           8190ZP64690           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP66540           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP64660           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP64660           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP67210           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP67210           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP67380           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP67190           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP67190           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP67190           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP64690           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP64690           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190WZ9110C           SX218190SX51000000001.000                    20180707MB1B                9I3    
8190           8190WZ9110C           SX218190SX51000000001.000                    20180707MB1B                9I3    
8190           8190WZ9110C           SX218190SX51000000001.000                    20180707MB1B                9I3    
