8190           8190ZQ87840           CL218190CL51000000020.000                    20171115MB1B                9I3    
8190           8190ZQ93300           SX518190SX91000000015.000                    20171115MB1B                9I3    
8190           8190WK0455A           SX518190SX91000000008.000                    20171115MB1B                9I3    
8190           8190ZQ93300           SX518190SX91000000015.000                    20171115MB1B                9I3    
8190           8190ZQ87840           CL218190CL51000000020.000                    20171115MB1B                9I3    
8190           8190WK0455A           SX518190SX91000000008.000                    20171115MB1B                9I3    
8190           8190ZT45070           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZT45070           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZT45070           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZZ32910           SX518190SX91000000010.000                    20171115MB1B                9I3    
8190           8190ZY84700           SX518190SX91000000010.000                    20171115MB1B                9I3    
8190           8190ZZ32710           SX518190SX91000000010.000                    20171115MB1B                9I3    
8190           8190ZY84930           SX518190SX91000000010.000                    20171115MB1B                9I3    
8190           8190ZY85250           SX518190SX91000000010.000                    20171115MB1B                9I3    
8190           8190ZY85820           SX518190SX91000000010.000                    20171115MB1B                9I3    
8190           8190ZQ87840           CL218190CL51000000020.000                    20171115MB1B                9I3    
8190           8190ZQ87840           CL218190CL51000000020.000                    20171115MB1B                9I3    
8190           8190ZQ85910           SX518190SX91000000015.000                    20171115MB1B                9I3    
8190           8190ZQ95350           SX518190SX91000000015.000                    20171115MB1B                9I3    
8190           8190ZQ94850           SX518190SX91000000015.000                    20171115MB1B                9I3    
8190           8190ZT44660           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZU03210           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZQ87840           CL218190CL51000000020.000                    20171115MB1B                9I3    
8190           8190ZY85310           SX518190SX91000000010.000                    20171115MB1B                9I4    
8190           8190ZQ95350           SX518190SX91000000015.000                    20171115MB1B                9I3    
8190           8190ZQ95180           SX518190SX91000000015.000                    20171115MB1B                9I3    
8190           8190ZQ83790           SX518190SX91000000015.000                    20171115MB1B                9I3    
8190           8190ZQ83910           SX518190SX91000000015.000                    20171115MB1B                9I3    
8190           8190ZQ83670           SX518190SX91000000015.000                    20171115MB1B                9I3    
8190           8190ZQ84070           SX518190SX91000000015.000                    20171115MB1B                9I3    
8190           8190ZQ88620           SX518190SX91000000015.000                    20171115MB1B                9I3    
8190           8190ZQ95120           SX518190SX91000000015.000                    20171115MB1B                9I3    
8190           8190ZQ94550           SX518190SX91000000015.000                    20171115MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20171115MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20171115MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20171115MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20171115MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20171115MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20171115MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20171115MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20171115MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20171115MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20171115MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20171115MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20171115MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20171115MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20171115MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20171115MB1B                9I3    
8190           8190ZQ84350           SX218190SX51000000015.000                    20171115MB1B                9I3    
8190           8190ZQ84350           SX218190SX51000000015.000                    20171115MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20171115MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20171115MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20171115MB1B                9I3    
8190           8190ZQ86640           SX218190SX51000000015.000                    20171115MB1B                9I3    
