8190           8190ZR01340           SX218190SX51000000008.000                    20180915MB1B                9I3    
8190           8190ZT43120           SX218190SX51000000008.000                    20180915MB1B                9I3    
8190           8190ZR01040           SX218190SX51000000008.000                    20180915MB1B                9I3    
8190           8190ZT43210           SX218190SX51000000008.000                    20180915MB1B                9I3    
8190           8190ZT42880           SX218190SX51000000008.000                    20180915MB1B                9I3    
8190           8190ZT42950           SX218190SX51000000008.000                    20180915MB1B                9I3    
8190           8190ZR01250           SX218190SX51000000008.000                    20180915MB1B                9I3    
8190           8190ZR01250           SX218190SX51000000008.000                    20180915MB1B                9I3    
8190           8190ZQ96340           SX218190SX51000000008.000                    20180915MB1B                9I3    
8190           8190ZQ99100           SX218190SX51000000008.000                    20180915MB1B                9I3    
8190           8190ZQ98670           SX218190SX51000000008.000                    20180915MB1B                9I3    
8190           8190ZQ99790           SX218190SX51000000008.000                    20180915MB1B                9I3    
8190           8190ZQ94750           SX218190SX51000000008.000                    20180915MB1B                9I3    
8190           8190ZQ95270           SX218190SX51000000008.000                    20180915MB1B                9I3    
8190           8190ZQ95270           SX218190SX51000000008.000                    20180915MB1B                9I3    
8190           8190ZQ95400           SX218190SX51000000008.000                    20180915MB1B                9I3    
8190           8190ZQ95600           SX218190SX51000000008.000                    20180915MB1B                9I3    
8190           8190ZQ95600           SX218190SX51000000008.000                    20180915MB1B                9I3    
8190           8190ZQ95600           SX218190SX51000000008.000                    20180915MB1B                9I3    
8190           8190ZQ95770           SX218190SX51000000008.000                    20180915MB1B                9I3    
8190           8190ZQ95770           SX218190SX51000000008.000                    20180915MB1B                9I3    
8190           8190ZQ95910           SX218190SX51000000008.000                    20180915MB1B                9I3    
8190           8190ZQ95910           SX218190SX51000000008.000                    20180915MB1B                9I3    
8190           8190ZQ96010           SX218190SX51000000008.000                    20180915MB1B                9I3    
8190           8190ZQ99100           SX218190SX51000000008.000                    20180915MB1B                9I3    
8190           8190ZQ98550           SX218190SX51000000008.000                    20180915MB1B                9I3    
8190           8190ZQ98440           SX218190SX51000000008.000                    20180915MB1B                9I3    
8190           8190ZQ98720           SX218190SX51000000008.000                    20180915MB1B                9I3    
8190           8190ZQ96090           SX218190SX51000000008.000                    20180915MB1B                9I3    
8190           8190ZP62880           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP66210           SXA08190SX21000000030.000                    20180915MB1B                9I3    
8190           8190ZP66210           SXA08190SX21000000030.000                    20180915MB1B                9I3    
8190           8190ZP66210           SXA08190SX21000000030.000                    20180915MB1B                9I3    
8190           8190ZP68040           SXA08190SX21000000016.000                    20180915MB1B                9I3    
8190           8190ZP67990           SXA08190SX21000000016.000                    20180915MB1B                9I3    
8190           8190ZP67960           SXA08190SX21000000030.000                    20180915MB1B                9I3    
8190           8190ZP67960           SXA08190SX21000000030.000                    20180915MB1B                9I3    
8190           8190ZP67960           SXA08190SX21000000030.000                    20180915MB1B                9I3    
8190           8190ZP67310           SXA08190SX21000000016.000                    20180915MB1B                9I3    
8190           8190ZP67310           SXA08190SX21000000016.000                    20180915MB1B                9I3    
8190           8190ZP66210           SXA08190SX21000000030.000                    20180915MB1B                9I3    
8190           8190ZP66210           SXA08190SX21000000030.000                    20180915MB1B                9I3    
8190           8190ZP62790           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP62860           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP62860           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP62860           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP62860           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP62810           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20180915MB1B                9I3    
8190           8190ZP62810           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP62810           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP62790           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP62790           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP65230           SXA08190SX21000000016.000                    20180915MB1B                9I3    
8190           8190ZP65230           SXA08190SX21000000016.000                    20180915MB1B                9I3    
8190           8190ZP65220           SXA08190SX21000000016.000                    20180915MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20180915MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20180915MB1B                9I3    
8190           8190WY84940           SXA18190SX21000000005.000                    20180915MB1B                9I3    
8190           8190WY84940           SXA18190SX21000000005.000                    20180915MB1B                9I3    
8190           8190ZA52480           SXA18190SX21000000005.000                    20180915MB1B                9I3    
8190           8190ZA52480           SXA18190SX21000000005.000                    20180915MB1B                9I3    
8190           8190WZ91400           SXA18190SX21000000005.000                    20180915MB1B                9I3    
8190           8190WZ91400           SXA18190SX21000000005.000                    20180915MB1B                9I3    
8190           8190WZ91400           SXA18190SX21000000005.000                    20180915MB1B                9I3    
8190           8190ZP65190           SXA08190SX21000000016.000                    20180915MB1B                9I3    
8190           8190ZP62700           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP62700           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP62700           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP65220           SXA08190SX21000000016.000                    20180915MB1B                9I3    
8190           8190ZP62770           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP62770           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP62770           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP62770           FLA08190FL21000000040.000                    20180915MB1B                9I3    
