8190           8190ZP64140           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZS06170           SX218190SX51000000015.000                    20180827MB1B                9I3    
8190           8190ZS06170           SX218190SX51000000015.000                    20180827MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180827MB1B                9I3    
8190           8190ZS06170           SX218190SX51000000015.000                    20180827MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180827MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180827MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180827MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZE22510           FLA28190FL21000000030.000                    20180827MB1B                9I3    
8190           8190ZE22500           FLA28190FL21000000030.000                    20180827MB1B                9I3    
8190           8190ZP63800           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP63800           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP63800           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP63800           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZE22480           FLA28190FL21000000030.000                    20180827MB1B                9I3    
8190           8190ZE22550           FLA28190FL21000000030.000                    20180827MB1B                9I3    
8190           8190ZE22510           FLA28190FL21000000030.000                    20180827MB1B                9I3    
8190           8190ZE22510           FLA28190FL21000000030.000                    20180827MB1B                9I3    
8190           8190ZE22510           FLA28190FL21000000030.000                    20180827MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180827MB1B                9I3    
8190           8190ZP63810           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP63900           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP68040           SXA08190SX21000000016.000                    20180827MB1B                9I3    
8190           8190ZP68040           SXA08190SX21000000016.000                    20180827MB1B                9I3    
8190           8190ZP63380           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP63380           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP63380           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP68040           SXA08190SX21000000016.000                    20180827MB1B                9I3    
8190           8190ZP68040           SXA08190SX21000000016.000                    20180827MB1B                9I3    
8190           8190ZP63180           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP68020           SXA08190SX21000000016.000                    20180827MB1B                9I3    
8190           8190ZP68020           SXA08190SX21000000016.000                    20180827MB1B                9I3    
8190           8190ZP62990           FLA08190FL21000000500.000                    20180827MB1B                9I3    
8190           8190ZP63420           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP63420           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP63900           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP63900           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP63500           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP63500           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP63490           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP63430           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP63430           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP63430           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP63430           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20180827MB1B                9I3    
8190           8190ZP63420           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP68030           SXA08190SX21000000016.000                    20180827MB1B                9I3    
8190           8190ZP62990           FLA08190FL21000000500.000                    20180827MB1B                9I3    
8190           8190ZP62880           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP65210           SXA08190SX21000000016.000                    20180827MB1B                9I3    
8190           8190ZP62880           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP62880           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP62860           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP65100           SXA08190SX21000000016.000                    20180827MB1B                9I3    
8190           8190ZP64410           SXA08190SX21000000016.000                    20180827MB1B                9I3    
8190           8190ZP64370           SXA08190SX21000000016.000                    20180827MB1B                9I3    
8190           8190ZP62820           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP62820           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP64330           SXA08190SX21000000016.000                    20180827MB1B                9I3    
8190           8190ZP62880           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP62960           FLA08190FL21000000500.000                    20180827MB1B                9I3    
8190           8190ZP68030           SXA08190SX21000000016.000                    20180827MB1B                9I3    
8190           8190ZP63010           FLA08190FL21000000500.000                    20180827MB1B                9I3    
8190           8190ZP63100           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP67310           SXA08190SX21000000016.000                    20180827MB1B                9I3    
8190           8190ZP66890           SXA08190SX21000000016.000                    20180827MB1B                9I3    
8190           8190ZP66890           SXA08190SX21000000016.000                    20180827MB1B                9I3    
8190           8190ZP66860           SXA08190SX21000000016.000                    20180827MB1B                9I3    
8190           8190ZP66860           SXA08190SX21000000016.000                    20180827MB1B                9I3    
8190           8190ZP66190           SXA08190SX21000000050.000                    20180827MB1B                9I3    
8190           8190ZP65220           SXA08190SX21000000016.000                    20180827MB1B                9I3    
8190           8190ZP65210           SXA08190SX21000000016.000                    20180827MB1B                9I3    
8190           8190ZP64330           SXA08190SX21000000016.000                    20180827MB1B                9I3    
8190           8190ZP67440           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP62940           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP63870           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP63850           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP63850           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP63850           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZQ95100           SX518190SX91000000015.000                    20180827MB1B                9I3    
8190           8190ZQ94310           SX518190SX91000000015.000                    20180827MB1B                9I3    
8190           8190ZQ94310           SX518190SX91000000015.000                    20180827MB1B                9I3    
8190           8190ZP62900           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP62900           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP62900           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP62900           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP63870           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP63870           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP62580           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP65020           SXA08190SX21000000016.000                    20180827MB1B                9I3    
8190           8190ZP62580           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP62580           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP62580           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP62570           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP62570           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP62570           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP62570           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP63880           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP64120           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP62900           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP62900           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP64860           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP64860           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP64860           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP64860           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP67140           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP64860           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP64860           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP67140           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP67140           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP64880           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP64820           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP63860           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP63860           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP62900           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZU49270           FLA08190FL21000000200.000                    20180827MB1B                9I3    
8190           8190ZU49270           FLA08190FL21000000200.000                    20180827MB1B                9I3    
8190           8190ZU49270           FLA08190FL21000000200.000                    20180827MB1B                9I3    
8190           8190ZU49270           FLA08190FL21000000200.000                    20180827MB1B                9I3    
8190           8190ZU49330           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZU49330           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZU49330           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZU49330           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP63860           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP63860           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP67440           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP62670           FLA08190FL21000000100.000                    20180827MB1B                9I3    
8190           8190ZP67620           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20180827MB1B                9I3    
8190           8190ZP67550           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP67550           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP67500           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP67500           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP67480           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP67480           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP67480           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP67470           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP67470           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP67620           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP67670           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP67740           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP67740           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP67740           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP67740           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP67720           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP67710           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP67710           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP67710           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP67710           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP67670           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP67670           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP67430           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP67430           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP66200           SXA08190SX21000000500.000                    20180827MB1B                9I3    
8190           8190ZP66010           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP66010           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP66010           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP66010           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP66010           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP63920           SXA08190SX21000000030.000                    20180827MB1B                9I3    
