8190           8190ZQ84100           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZQ89110           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZP61920           CLA08190CL21000000100.000                    20190226MB1B                9I3    
8190           8190ZQ86110           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZQ86250           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZP61960           CLA08190CL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP61960           CLA08190CL21000000040.000                    20190226MB1B                9I3    
8190           8190ZQ92770           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZP61930           CLA08190CL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP61930           CLA08190CL21000000040.000                    20190226MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZQ86110           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZP61920           CLA08190CL21000000100.000                    20190226MB1B                9I3    
8190           8190ZQ91380           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZQ89110           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZQ89110           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZQ89110           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZQ84860           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZQ84860           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZQ86000           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZQ86000           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZQ86000           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZP61950           CLA08190CL21000000100.000                    20190226MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZP67410           SXA08190SX21000000030.000                    20190226MB1B                9I3    
8190           8190ZC58580           SXA18190SX21000000005.000                    20190226MB1B                9I3    
8190           8190ZC58580           SXA18190SX21000000005.000                    20190226MB1B                9I3    
8190           8190ZC58580           SXA18190SX21000000005.000                    20190226MB1B                9I3    
8190           8190ZC58580           SXA18190SX21000000005.000                    20190226MB1B                9I3    
8190           8190ZP62180           CLA08190CL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP62180           CLA08190CL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP62170           CLA08190CL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP62170           CLA08190CL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP62170           CLA08190CL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP62560           CLA08190CL21000000040.000                    20190226MB1B                9I3    
8190           8190ZC58580           SXA18190SX21000000005.000                    20190226MB1B                9I3    
8190           8190ZC58580           SXA18190SX21000000005.000                    20190226MB1B                9I3    
8190           8190ZC34590           SXA18190SX21000000005.000                    20190226MB1B                9I3    
8190           8190ZP67410           SXA08190SX21000000030.000                    20190226MB1B                9I3    
8190           8190ZP67070           SXA08190SX21000000030.000                    20190226MB1B                9I3    
8190           8190ZP67050           SXA08190SX21000000030.000                    20190226MB1B                9I3    
8190           8190ZP67050           SXA08190SX21000000030.000                    20190226MB1B                9I3    
8190           8190ZP66970           SXA08190SX21000000030.000                    20190226MB1B                9I3    
8190           8190ZP66910           SXA08190SX21000000030.000                    20190226MB1B                9I3    
8190           8190ZP66910           SXA08190SX21000000030.000                    20190226MB1B                9I3    
8190           8190ZC34590           SXA18190SX21000000005.000                    20190226MB1B                9I3    
8190           8190ZC34590           SXA18190SX21000000005.000                    20190226MB1B                9I3    
8190           8190ZC34590           SXA18190SX21000000005.000                    20190226MB1B                9I3    
8190           8190ZP62560           CLA08190CL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP62150           CLA08190CL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP62140           CLA08190CL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP62090           CLA08190CL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP62030           CLA08190CL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP62020           CLA08190CL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP62020           CLA08190CL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP62020           CLA08190CL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP62010           CLA08190CL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP62090           CLA08190CL21000000040.000                    20190226MB1B                9I3    
