8190           8190ZQ90320           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ89530           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ92030           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ91900           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ89830           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ89830           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ89380           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ89380           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ87760           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ91970           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ91970           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ88000           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ89940           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ89940           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ89940           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ89940           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ89530           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZF37760           SXA28190SX21000000020.000                    20171117MB1B                9I3    
8190           8190ZF37200           SXA28190SX21000000020.000                    20171117MB1B                9I3    
8190           8190ZF37200           SXA28190SX21000000020.000                    20171117MB1B                9I3    
8190           8190ZF36800           SXA28190SX21000000020.000                    20171117MB1B                9I3    
8190           8190ZF36800           SXA28190SX21000000020.000                    20171117MB1B                9I3    
8190           8190ZF36800           SXA28190SX21000000020.000                    20171117MB1B                9I3    
8190           8190ZF36800           SXA28190SX21000000020.000                    20171117MB1B                9I3    
8190           8190ZF36890           SXA28190SX21000000020.000                    20171117MB1B                9I3    
8190           8190ZF36890           SXA28190SX21000000020.000                    20171117MB1B                9I3    
8190           8190ZF36890           SXA28190SX21000000020.000                    20171117MB1B                9I3    
8190           8190ZF36890           SXA28190SX21000000020.000                    20171117MB1B                9I3    
8190           8190ZQ95910           SX218190SX51000000008.000                    20171117MB1B                9I3    
8190           8190ZQ95910           SX218190SX51000000008.000                    20171117MB1B                9I3    
8190           8190ZF37200           SXA28190SX21000000020.000                    20171117MB1B                9I3    
8190           8190ZF37200           SXA28190SX21000000020.000                    20171117MB1B                9I3    
8190           8190ZF37760           SXA28190SX21000000020.000                    20171117MB1B                9I3    
8190           8190ZF37760           SXA28190SX21000000020.000                    20171117MB1B                9I3    
8190           8190ZF37770           SXA28190SX21000000020.000                    20171117MB1B                9I3    
8190           8190ZF37770           SXA28190SX21000000020.000                    20171117MB1B                9I3    
