8190           8190WZ9134C           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190ZQ88990           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ88400           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ88400           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZS06090           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ91380           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ84100           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190ZP63960           SXA08190SX21000000030.000                    20180811MB1B                9I3    
8190           8190ZP63960           SXA08190SX21000000030.000                    20180811MB1B                9I3    
8190           8190ZP63960           SXA08190SX21000000030.000                    20180811MB1B                9I3    
8190           8190ZP63960           SXA08190SX21000000030.000                    20180811MB1B                9I3    
8190           8190ZP63960           SXA08190SX21000000030.000                    20180811MB1B                9I3    
8190           8190ZP63960           SXA08190SX21000000030.000                    20180811MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ86000           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ83610           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ89110           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ89110           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ89110           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ86250           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ86250           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ86250           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ91320           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ91320           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZP64080           SXA08190SX21000000030.000                    20180811MB1B                9I3    
8190           8190ZT95340           CL218190CL51000000020.000                    20180811MB1B                9I3    
8190           8190ZQ87840           CL218190CL51000000020.000                    20180811MB1B                9I3    
8190           8190ZQ87840           CL218190CL51000000020.000                    20180811MB1B                9I3    
8190           8190ZQ92030           CL218190CL51000000020.000                    20180811MB1B                9I3    
8190           8190ZQ92030           CL218190CL51000000020.000                    20180811MB1B                9I3    
8190           8190ZQ92030           CL218190CL51000000020.000                    20180811MB1B                9I3    
8190           8190ZQ87840           CL218190CL51000000020.000                    20180811MB1B                9I3    
8190           8190ZQ87760           CL218190CL51000000020.000                    20180811MB1B                9I3    
8190           8190ZQ90160           CL218190CL51000000020.000                    20180811MB1B                9I3    
8190           8190ZQ89940           CL218190CL51000000020.000                    20180811MB1B                9I3    
8190           8190ZP66360           SXA08190SX21000000016.000                    20180811MB1B                9I3    
8190           8190ZP66360           SXA08190SX21000000016.000                    20180811MB1B                9I3    
8190           8190ZP66360           SXA08190SX21000000016.000                    20180811MB1B                9I3    
8190           8190ZQ87840           CL218190CL51000000020.000                    20180811MB1B                9I3    
8190           8190ZQ89380           CL218190CL51000000020.000                    20180811MB1B                9I3    
8190           8190ZQ89740           CL218190CL51000000020.000                    20180811MB1B                9I3    
8190           8190ZQ88300           CL218190CL51000000020.000                    20180811MB1B                9I3    
8190           8190ZQ89650           CL218190CL51000000020.000                    20180811MB1B                9I3    
8190           8190ZQ88090           CL218190CL51000000020.000                    20180811MB1B                9I3    
