8190           8190ZF36880           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF36880           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF36880           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF37070           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF37070           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF37070           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF37260           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZQ99190           SX218190SX51000000008.000                    20190108MB1B                9I3    
8190           8190ZG29630           CLA28190CL21000000180.000                    20190108MB1B                9I3    
8190           8190ZG29630           CLA28190CL21000000180.000                    20190108MB1B                9I3    
8190           8190ZG29690           CLA28190CL21000000180.000                    20190108MB1B                9I3    
8190           8190ZG29670           CLA28190CL21000000180.000                    20190108MB1B                9I3    
8190           8190ZG29650           CLA28190CL21000000180.000                    20190108MB1B                9I3    
8190           8190ZE22640           FLA28190FL21000000030.000                    20190108MB1B                9I3    
8190           8190ZE22640           FLA28190FL21000000030.000                    20190108MB1B                9I3    
8190           8190ZE22640           FLA28190FL21000000030.000                    20190108MB1B                9I3    
8190           8190ZE22610           FLA28190FL21000000030.000                    20190108MB1B                9I3    
8190           8190ZE22600           FLA28190FL21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67160           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67160           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67160           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZQ95400           SX218190SX51000000008.000                    20190108MB1B                9I3    
8190           8190ZQ98110           SX218190SX51000000008.000                    20190108MB1B                9I3    
8190           8190ZQ98270           SX218190SX51000000008.000                    20190108MB1B                9I3    
8190           8190ZQ97030           SX218190SX51000000008.000                    20190108MB1B                9I3    
8190           8190ZQ99190           SX218190SX51000000008.000                    20190108MB1B                9I3    
8190           8190ZQ96960           SX218190SX51000000008.000                    20190108MB1B                9I3    
8190           8190ZQ96960           SX218190SX51000000008.000                    20190108MB1B                9I3    
8190           8190ZQ96620           SX218190SX51000000008.000                    20190108MB1B                9I3    
8190           8190ZQ96450           SX218190SX51000000008.000                    20190108MB1B                9I3    
8190           8190ZQ96450           SX218190SX51000000008.000                    20190108MB1B                9I3    
8190           8190ZE22570           FLA28190FL21000000030.000                    20190108MB1B                9I3    
8190           8190ZE22570           FLA28190FL21000000030.000                    20190108MB1B                9I3    
8190           8190ZE22570           FLA28190FL21000000030.000                    20190108MB1B                9I3    
8190           8190ZE22480           FLA28190FL21000000030.000                    20190108MB1B                9I3    
8190           8190ZE22480           FLA28190FL21000000030.000                    20190108MB1B                9I3    
8190           8190ZE22550           FLA28190FL21000000030.000                    20190108MB1B                9I3    
8190           8190ZE22550           FLA28190FL21000000030.000                    20190108MB1B                9I3    
8190           8190ZE22510           FLA28190FL21000000030.000                    20190108MB1B                9I3    
8190           8190ZE22500           FLA28190FL21000000030.000                    20190108MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20190108MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20190108MB1B                9I3    
8190           8190ZT24080           SX518190SX91000000015.000                    20190108MB1B                9I3    
8190           8190ZT24080           SX518190SX91000000015.000                    20190108MB1B                9I3    
8190           8190ZE22520           FLA28190FL21000000030.000                    20190108MB1B                9I3    
8190           8190ZE22530           FLA28190FL21000000030.000                    20190108MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20190108MB1B                9I3    
8190           8190ZE22570           FLA28190FL21000000030.000                    20190108MB1B                9I3    
8190           8190ZE22560           FLA28190FL21000000030.000                    20190108MB1B                9I3    
8190           8190ZE22560           FLA28190FL21000000030.000                    20190108MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20190108MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20190108MB1B                9I3    
