8190           8190WZ9134C           SX218190SX51000000001.000                    20180521MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180521MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180521MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180521MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180521MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180521MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180521MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180521MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180521MB1B                9I3    
8190           8190WZ9110C           SX218190SX51000000001.000                    20180521MB1B                9I3    
8190           8190WZ9110C           SX218190SX51000000001.000                    20180521MB1B                9I3    
8190           8190WZ9110C           SX218190SX51000000001.000                    20180521MB1B                9I3    
8190           8190ZU02270           FLA18190FL51000000005.000                    20180521MB1B                9I3    
8190           8190ZU02270           FLA18190FL51000000005.000                    20180521MB1B                9I3    
8190           8190ZU02270           FLA18190FL51000000005.000                    20180521MB1B                9I3    
8190           8190ZU02270           FLA18190FL51000000005.000                    20180521MB1B                9I3    
8190           8190ZU02270           FLA18190FL51000000005.000                    20180521MB1B                9I3    
8190           8190ZU02270           FLA18190FL51000000005.000                    20180521MB1B                9I3    
8190           8190ZU02980           FLA18190FL51000000005.000                    20180521MB1B                9I3    
8190           8190ZU02980           FLA18190FL51000000005.000                    20180521MB1B                9I3    
8190           8190ZU02980           FLA18190FL51000000005.000                    20180521MB1B                9I3    
8190           8190ZU02980           FLA18190FL51000000005.000                    20180521MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180521MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180521MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180521MB1B                9I3    
8190           8190ZQ95040           SX218190SX51000000008.000                    20180521MB1B                9I3    
8190           8190ZQ99100           SX218190SX51000000008.000                    20180521MB1B                9I3    
8190           8190ZQ98040           SX218190SX51000000008.000                    20180521MB1B                9I3    
8190           8190ZQ94750           SX218190SX51000000008.000                    20180521MB1B                9I3    
8190           8190ZQ94750           SX218190SX51000000008.000                    20180521MB1B                9I3    
8190           8190ZQ95270           SX218190SX51000000008.000                    20180521MB1B                9I3    
8190           8190ZQ98870           SX218190SX51000000008.000                    20180521MB1B                9I3    
8190           8190ZQ96450           SX218190SX51000000008.000                    20180521MB1B                9I3    
8190           8190ZQ98040           SX218190SX51000000008.000                    20180521MB1B                9I3    
8190           8190ZQ95270           SX218190SX51000000008.000                    20180521MB1B                9I3    
8190           8190ZQ95480           SX218190SX51000000008.000                    20180521MB1B                9I3    
8190           8190ZQ98200           SX218190SX51000000008.000                    20180521MB1B                9I3    
8190           8190ZQ95480           SX218190SX51000000008.000                    20180521MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180521MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180521MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20180521MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20180521MB1B                9I3    
8190           8190ZQ98550           SX218190SX51000000008.000                    20180521MB1B                9I3    
8190           8190ZR01530           SX218190SX51000000008.000                    20180521MB1B                9I3    
8190           8190ZR01170           SX218190SX51000000008.000                    20180521MB1B                9I3    
8190           8190ZQ96090           SX218190SX51000000008.000                    20180521MB1B                9I3    
8190           8190ZQ98110           SX218190SX51000000008.000                    20180521MB1B                9I3    
8190           8190ZQ98670           SX218190SX51000000008.000                    20180521MB1B                9I3    
8190           8190ZQ96450           SX218190SX51000000008.000                    20180521MB1B                9I3    
8190           8190ZU02270           FLA18190FL51000000005.000                    20180521MB1B                9I3    
8190           8190ZQ93610           SX218190SX51000000015.000                    20180521MB1B                9I3    
8190           8190ZP62850           SXA08190SX21000000030.000                    20180521MB1B                9I3    
8190           8190ZP62850           SXA08190SX21000000030.000                    20180521MB1B                9I3    
8190           8190ZP62850           SXA08190SX21000000030.000                    20180521MB1B                9I3    
8190           8190ZP67960           SXA08190SX21000000030.000                    20180521MB1B                9I3    
8190           8190ZP67960           SXA08190SX21000000030.000                    20180521MB1B                9I3    
8190           8190ZP67960           SXA08190SX21000000030.000                    20180521MB1B                9I3    
8190           8190ZP67960           SXA08190SX21000000030.000                    20180521MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20180521MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20180521MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20180521MB1B                9I3    
8190           8190ZP62850           SXA08190SX21000000030.000                    20180521MB1B                9I3    
8190           8190ZP62850           SXA08190SX21000000030.000                    20180521MB1B                9I3    
8190           8190ZY13490           VNA08190VN21000000060.000                    20180521MB1B                9I3    
8190           8190ZQ93610           SX218190SX51000000015.000                    20180521MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20180521MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20180521MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20180521MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20180521MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20180521MB1B                9I3    
8190           8190ZP66910           SXA08190SX21000000030.000                    20180521MB1B                9I3    
8190           8190ZY13490           VNA08190VN21000000060.000                    20180521MB1B                9I3    
8190           8190ZY13490           VNA08190VN21000000060.000                    20180521MB1B                9I3    
8190           8190ZY13490           VNA08190VN21000000060.000                    20180521MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20180521MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20180521MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20180521MB1B                9I3    
8190           8190ZU02430           FL218190FL51000000005.000                    20180521MB1B                9I3    
8190           8190ZU02430           FL218190FL51000000005.000                    20180521MB1B                9I3    
8190           8190ZU02430           FL218190FL51000000005.000                    20180521MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180521MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180521MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180521MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180521MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180521MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180521MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180521MB1B                9I3    
8190           8190ZU02430           FL218190FL51000000005.000                    20180521MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20180521MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20180521MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20180521MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20180521MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20180521MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20180521MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20180521MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20180521MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20180521MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20180521MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20180521MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20180521MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180521MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20180521MB1B                9I3    
8190           8190ZQ84860           SX218190SX51000000015.000                    20180521MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20180521MB1B                9I3    
8190           8190ZQ88400           SX218190SX51000000015.000                    20180521MB1B                9I3    
8190           8190ZQ88400           SX218190SX51000000015.000                    20180521MB1B                9I3    
8190           8190ZQ89110           SX218190SX51000000015.000                    20180521MB1B                9I3    
8190           8190ZQ89110           SX218190SX51000000015.000                    20180521MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20180521MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20180521MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20180521MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20180521MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20180521MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20180521MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20180521MB1B                9I3    
