8190           8190ZP67940           SXA08190VN21000000030.000                    20180926MB1B                9I3    
8190           8190ZP67940           SXA08190VN21000000030.000                    20180926MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP67770           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP67550           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP68040           SXA08190SX21000000016.000                    20180926MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180926MB1B                9I3    
8190           8190ZP63130           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP63130           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180926MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180926MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180926MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180926MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20180926MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20180926MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20180926MB1B                9I3    
8190           8190ZP63110           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180926MB1B                9I3    
8190           8190ZP63170           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180926MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180926MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180926MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180926MB1B                9I3    
8190           8190ZP63230           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180926MB1B                9I3    
8190           8190ZP63230           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180926MB1B                9I3    
8190           8190ZP63170           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP63170           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP63110           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP63110           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP63090           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP63860           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP63860           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP63850           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP67280           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP67280           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP63900           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP66750           SXA08190SX21000000016.000                    20180926MB1B                9I3    
8190           8190ZP65010           SXA08190SX21000000016.000                    20180926MB1B                9I3    
8190           8190ZP65010           SXA08190SX21000000016.000                    20180926MB1B                9I3    
8190           8190ZP63990           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP63860           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP67140           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP62950           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP62920           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP62890           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP62890           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP62890           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP62870           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP62870           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP63870           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP67140           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP67140           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP63660           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZT45520           FL218190FL51000000020.000                    20180926MB1B                9I3    
