8190           8190ZQ84470           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZQ89210           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZQ89210           SX518190SX91000000015.000                    20171204MB1B                9I31   
8190           8190ZQ89210           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZQ86220           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZQ86220           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZQ86080           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20171204MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20171204MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20171204MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20171204MB1B                9I3    
8190           8190ZQ97030           SX218190SX51000000008.000                    20171204MB1B                9I3    
8190           8190ZQ96340           SX218190SX51000000008.000                    20171204MB1B                9I3    
8190           8190ZQ96340           SX218190SX51000000008.000                    20171204MB1B                9I3    
8190           8190ZQ86080           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZQ84070           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZQ84070           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZQ86320           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZR10720           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZR10720           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZR10720           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZQ95120           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZR10720           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZQ94400           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZR10680           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZQ86320           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZQ86320           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZQ83790           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZQ84070           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZQ83790           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZQ83790           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZQ83790           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZQ88380           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZQ84310           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZQ83790           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZQ83790           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZQ95100           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZR02190           SX518190SX91000000008.000                    20171204MB1B                9I3    
8190           8190ZR00350           SX518190SX91000000008.000                    20171204MB1B                9I3    
8190           8190ZR00350           SX518190SX91000000008.000                    20171204MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20171204MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20171204MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20171204MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20171204MB1B                9I3    
8190           8190ZP66950           SXA08190SX21000000030.000                    20171204MB1B                9I3    
8190           8190ZP67960           SXA08190SX21000000030.000                    20171204MB1B                9I3    
8190           8190ZR00350           SX518190SX91000000008.000                    20171204MB1B                9I3    
8190           8190ZR00860           SX518190SX91000000008.000                    20171204MB1B                9I3    
8190           8190ZR00860           SX518190SX91000000008.000                    20171204MB1B                9I3    
8190           8190ZR02190           SX518190SX91000000008.000                    20171204MB1B                9I3    
8190           8190ZR00310           SX518190SX91000000008.000                    20171204MB1B                9I3    
8190           8190ZR00310           SX518190SX91000000008.000                    20171204MB1B                9I3    
8190           8190ZR00310           SX518190SX91000000008.000                    20171204MB1B                9I3    
8190           8190ZR00380           SX518190SX91000000008.000                    20171204MB1B                9I3    
8190           8190ZR00380           SX518190SX91000000008.000                    20171204MB1B                9I3    
8190           8190ZR00380           SX518190SX91000000008.000                    20171204MB1B                9I3    
8190           8190ZR00860           SX518190SX91000000008.000                    20171204MB1B                9I3    
8190           8190ZP67960           SXA08190SX21000000030.000                    20171204MB1B                9I3    
8190           8190W59455C           SX518190SX91000000050.000                    20171204MB1B                9I3    
8190           8190ZQ88990           SX218190SX51000000015.000                    20171204MB1B                9I3    
8190           8190ZQ88990           SX218190SX51000000015.000                    20171204MB1B                9I3    
8190           8190ZQ99790           SX218190SX51000000008.000                    20171204MB1B                9I3    
8190           8190ZQ99790           SX218190SX51000000008.000                    20171204MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20171204MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20171204MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20171204MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20171204MB1B                9I3    
8190           8190ZQ86540           SX218190SX51000000015.000                    20171204MB1B                9I3    
8190           8190ZQ86540           SX218190SX51000000015.000                    20171204MB1B                9I3    
8190           8190ZQ88990           SX218190SX51000000015.000                    20171204MB1B                9I3    
8190           8190ZQ96450           SX218190SX51000000008.000                    20171204MB1B                9I3    
8190           8190ZQ96960           SX218190SX51000000008.000                    20171204MB1B                9I3    
8190           8190ZQ98720           SX218190SX51000000008.000                    20171204MB1B                9I3    
8190           8190ZQ96010           SX218190SX51000000008.000                    20171204MB1B                9I3    
8190           8190ZQ95770           SX218190SX51000000008.000                    20171204MB1B                9I3    
8190           8190ZQ88320           SX218190SX51000000015.000                    20171204MB1B                9I3    
8190           8190ZQ88320           SX218190SX51000000015.000                    20171204MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20171204MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20171204MB1B                9I3    
8190           8190WY75970           CLB98190CL91000000010.000                    20171204MB1B                9I3    
8190           8190ZR12000           CLB98190CL91000000010.000                    20171204MB1B                9I3    
8190           8190ZR12000           CLB98190CL91000000010.000                    20171204MB1B                9I3    
8190           8190WY75680           CLB98190CL91000000010.000                    20171204MB1B                9I3    
8190           8190WY75680           CLB98190CL91000000010.000                    20171204MB1B                9I3    
8190           8190WY75680           CLB98190CL91000000010.000                    20171204MB1B                9I3    
8190           8190WY75680           CLB98190CL91000000010.000                    20171204MB1B                9I3    
8190           8190WY75680           CLB98190CL91000000010.000                    20171204MB1B                9I3    
8190           8190WY75680           CLB98190CL91000000010.000                    20171204MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000180.000                    20171204MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000180.000                    20171204MB1B                9I3    
8190           8190ZE22600           FLA28190FL21000000180.000                    20171204MB1B                9I3    
8190           8190ZR12000           CLB98190CL91000000010.000                    20171204MB1B                9I3    
8190           8190ZR12000           CLB98190CL91000000010.000                    20171204MB1B                9I3    
8190           8190WY75970           CLB98190CL91000000010.000                    20171204MB1B                9I3    
8190           8190WY75970           CLB98190CL91000000010.000                    20171204MB1B                9I3    
8190           8190WY75970           CLB98190CL91000000010.000                    20171204MB1B                9I3    
8190           8190WY75970           CLB98190CL91000000010.000                    20171204MB1B                9I3    
8190           8190ZT45990           FLA08190FL21000000040.000                    20171204MB1B                9I3    
8190           8190ZP67680           FLA08190FL21000000040.000                    20171204MB1B                9I3    
