8190           8190ZP63380           FLA08190FL21000000040.000                    20181108MB1B                9I3    
8190           8190ZP63380           FLA08190FL21000000040.000                    20181108MB1B                9I3    
8190           8190ZP63380           FLA08190FL21000000040.000                    20181108MB1B                9I3    
8190           8190ZP65010           SXA08190SX21000000016.000                    20181108MB1B                9I3    
8190           8190ZP67460           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP67460           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP66500           SXA08190SX21000000016.000                    20181108MB1B                9I3    
8190           8190ZP90570           FLA08190FL51000000040.000                    20181108MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20181108MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20181108MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20181108MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20181108MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20181108MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20181108MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20181108MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20181108MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20181108MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20181108MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20181108MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20181108MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20181108MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20181108MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20181108MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20181108MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20181108MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20181108MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20181108MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20181108MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20181108MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20181108MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20181108MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20181108MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20181108MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20181108MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20181108MB1B                9I3    
8190           8190ZU49270           FLA08190FL21000000200.000                    20181108MB1B                9I3    
8190           8190VAS1340           SXA08190SX21000000060.000                    20181108MB1B                9I3    
8190           8190ZU49270           FLA08190FL21000000200.000                    20181108MB1B                9I3    
8190           8190ZU49270           FLA08190FL21000000200.000                    20181108MB1B                9I3    
8190           8190ZU49270           FLA08190FL21000000200.000                    20181108MB1B                9I3    
8190           8190ZU49270           FLA08190FL21000000200.000                    20181108MB1B                9I3    
8190           8190ZG29630           CLA28190CL21000000180.000                    20181108MB1B                9I3    
8190           8190ZP90570           FLA08190FL51000000040.000                    20181108MB1B                9I3    
8190           8190ZP90570           FLA08190FL51000000040.000                    20181108MB1B                9I3    
8190           8190ZP90570           FLA08190FL51000000040.000                    20181108MB1B                9I3    
8190           8190VAS1340           SXA08190SX21000000060.000                    20181108MB1B                9I3    
8190           8190ZU49270           FLA08190FL21000000200.000                    20181108MB1B                9I3    
8190           8190ZU49330           FLA08190FL21000000040.000                    20181108MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20181108MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20181108MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20181108MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20181108MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20181108MB1B                9I3    
8190           8190ZE22510           FLA28190FL21000000030.000                    20181108MB1B                9I3    
8190           8190ZE22550           FLA28190FL21000000030.000                    20181108MB1B                9I3    
8190           8190ZE22550           FLA28190FL21000000030.000                    20181108MB1B                9I3    
8190           8190ZE22480           FLA28190FL21000000030.000                    20181108MB1B                9I3    
8190           8190ZE22500           FLA28190FL21000000030.000                    20181108MB1B                9I3    
8190           8190ZP90570           FLA08190FL51000000040.000                    20181108MB1B                9I3    
8190           8190ZP66500           SXA08190SX21000000016.000                    20181108MB1B                9I3    
8190           8190ZP66930           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP62670           FLA08190FL21000000100.000                    20181108MB1B                9I3    
8190           8190ZP62670           FLA08190FL21000000100.000                    20181108MB1B                9I3    
8190           8190ZP64090           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP66000           FLA08190FL21000000240.000                    20181108MB1B                9I3    
8190           8190ZP62660           FLA08190FL21000000300.000                    20181108MB1B                9I3    
8190           8190ZP64090           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP64090           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZU49310           FLA08190FL21000000300.000                    20181108MB1B                9I3    
8190           8190ZP64080           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZU49310           FLA08190FL21000000300.000                    20181108MB1B                9I3    
8190           8190ZP62670           FLA08190FL21000000100.000                    20181108MB1B                9I3    
8190           8190ZP66830           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP62670           FLA08190FL21000000100.000                    20181108MB1B                9I3    
8190           8190ZP66910           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP66910           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP66850           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP62680           FLA08190FL21000000040.000                    20181108MB1B                9I3    
8190           8190ZP62680           FLA08190FL21000000040.000                    20181108MB1B                9I3    
8190           8190ZP62680           FLA08190FL21000000040.000                    20181108MB1B                9I3    
8190           8190ZP62680           FLA08190FL21000000040.000                    20181108MB1B                9I3    
8190           8190ZP66850           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP62670           FLA08190FL21000000100.000                    20181108MB1B                9I3    
8190           8190ZP62670           FLA08190FL21000000100.000                    20181108MB1B                9I3    
8190           8190ZP64080           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP64080           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP64060           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP63950           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP63940           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP63940           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP63940           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP63930           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP63930           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP63930           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP63930           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP63460           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP63460           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP63950           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP63960           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP63960           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP62650           FLA08190FL21000000300.000                    20181108MB1B                9I3    
