8190           8190ZA52450           SX518190SX91000000001.000                    20171218MB1B                9I3    
8190           8190ZA52450           SX518190SX91000000001.000                    20171218MB1B                9I3    
8190           8190ZP90570           FLA08190FL51000000040.000                    20171218MB1B                9I3    
8190           8190ZU06560           FL218190FL51000000020.000                    20171218MB1B                9I3    
8190           8190WZ9183C           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190WZ9183C           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190ZP67740           SXA08190SX21000000030.000                    20171218MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190ZU06480           FL218190FL51000000020.000                    20171218MB1B                9I3    
8190           8190ZU06270           FL218190FL51000000020.000                    20171218MB1B                9I3    
8190           8190ZT43910           FL218190FL51000000020.000                    20171218MB1B                9I3    
8190           8190ZT43910           FL218190FL51000000020.000                    20171218MB1B                9I3    
8190           8190ZU06380           FL218190FL51000000020.000                    20171218MB1B                9I3    
8190           8190ZT44180           FL218190FL51000000020.000                    20171218MB1B                9I3    
8190           8190ZT44180           FL218190FL51000000020.000                    20171218MB1B                9I3    
8190           8190ZT44180           FL218190FL51000000020.000                    20171218MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190WY84940           SXA18190SX21000000005.000                    20171218MB1B                9I3    
8190           8190WY84940           SXA18190SX21000000005.000                    20171218MB1B                9I3    
8190           8190ZK13370           SXA18190SX21000000001.000                    20171218MB1B                9I3    
8190           8190ZQ89740           CL218190CL51000000020.000                    20171218MB1B                9I3    
8190           8190ZQ89740           CL218190CL51000000020.000                    20171218MB1B                9I3    
8190           8190ZQ89650           CL218190CL51000000020.000                    20171218MB1B                9I3    
8190           8190ZQ87840           CL218190CL51000000020.000                    20171218MB1B                9I3    
8190           8190ZQ89830           CL218190CL51000000020.000                    20171218MB1B                9I3    
8190           8190ZQ89830           CL218190CL51000000020.000                    20171218MB1B                9I3    
8190           8190ZQ89830           CL218190CL51000000020.000                    20171218MB1B                9I3    
8190           8190ZQ91970           CL218190CL51000000020.000                    20171218MB1B                9I3    
8190           8190ZQ87840           CL218190CL51000000020.000                    20171218MB1B                9I3    
8190           8190ZQ87840           CL218190CL51000000020.000                    20171218MB1B                9I3    
8190           8190ZQ87840           CL218190CL51000000020.000                    20171218MB1B                9I3    
8190           8190ZQ91970           CL218190CL51000000020.000                    20171218MB1B                9I3    
8190           8190ZQ91970           CL218190CL51000000020.000                    20171218MB1B                9I3    
8190           8190ZK13370           SXA18190SX21000000001.000                    20171218MB1B                9I3    
8190           8190ZK13370           SXA18190SX21000000001.000                    20171218MB1B                9I3    
8190           8190ZA15040           SXA18190SX21000000001.000                    20171218MB1B                9I3    
8190           8190ZA15040           SXA18190SX21000000001.000                    20171218MB1B                9I3    
8190           8190ZA15040           SXA18190SX21000000001.000                    20171218MB1B                9I3    
8190           8190ZA15040           SXA18190SX21000000001.000                    20171218MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20171218MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20171218MB1B                9I3    
8190           8190ZA52480           SXA18190SX21000000005.000                    20171218MB1B                9I3    
8190           8190ZA52480           SXA18190SX21000000005.000                    20171218MB1B                9I3    
8190           8190ZQ87840           CL218190CL51000000020.000                    20171218MB1B                9I3    
8190           8190ZF37260           SXA28190SX21000000020.000                    20171218MB1B                9I3    
8190           8190ZF37350           SXA28190SX21000000020.000                    20171218MB1B                9I3    
8190           8190ZF37350           SXA28190SX21000000020.000                    20171218MB1B                9I3    
8190           8190ZF37140           SXA28190SX21000000020.000                    20171218MB1B                9I3    
8190           8190ZF37140           SXA28190SX21000000020.000                    20171218MB1B                9I3    
8190           8190ZF37140           SXA28190SX21000000020.000                    20171218MB1B                9I3    
8190           8190ZF37140           SXA28190SX21000000020.000                    20171218MB1B                9I3    
8190           8190ZF37340           SXA28190SX21000000020.000                    20171218MB1B                9I3    
8190           8190ZF37340           SXA28190SX21000000020.000                    20171218MB1B                9I3    
8190           8190ZF37340           SXA28190SX21000000020.000                    20171218MB1B                9I3    
8190           8190ZF37340           SXA28190SX21000000020.000                    20171218MB1B                9I3    
8190           8190ZF37350           SXA28190SX21000000020.000                    20171218MB1B                9I3    
8190           8190ZF37350           SXA28190SX21000000020.000                    20171218MB1B                9I3    
8190           8190ZF37330           SXA28190SX21000000020.000                    20171218MB1B                9I3    
8190           8190ZF37260           SXA28190SX21000000020.000                    20171218MB1B                9I3    
8190           8190ZF37260           SXA28190SX21000000020.000                    20171218MB1B                9I3    
8190           8190ZF37260           SXA28190SX21000000020.000                    20171218MB1B                9I3    
8190           8190ZF37270           SXA28190SX21000000020.000                    20171218MB1B                9I3    
8190           8190ZF37270           SXA28190SX21000000020.000                    20171218MB1B                9I3    
8190           8190ZF37270           SXA28190SX21000000020.000                    20171218MB1B                9I3    
8190           8190ZF37270           SXA28190SX21000000020.000                    20171218MB1B                9I3    
8190           8190ZF37320           SXA28190SX21000000020.000                    20171218MB1B                9I3    
8190           8190ZF37320           SXA28190SX21000000020.000                    20171218MB1B                9I3    
8190           8190ZF37330           SXA28190SX21000000020.000                    20171218MB1B                9I3    
8190           8190ZF37600           SXA28190SX21000000020.000                    20171218MB1B                9I3    
8190           8190ZF37600           SXA28190SX21000000020.000                    20171218MB1B                9I3    
8190           8190ZF37600           SXA28190SX21000000020.000                    20171218MB1B                9I3    
8190           8190ZF37370           SXA28190SX21000000020.000                    20171218MB1B                9I3    
8190           8190ZF37370           SXA28190SX21000000020.000                    20171218MB1B                9I3    
8190           8190ZF37370           SXA28190SX21000000020.000                    20171218MB1B                9I3    
8190           8190ZF37370           SXA28190SX21000000020.000                    20171218MB1B                9I3    
8190           8190ZQ90040           CL218190CL51000000020.000                    20171218MB1B                9I3    
8190           8190ZQ90040           CL218190CL51000000020.000                    20171218MB1B                9I3    
8190           8190ZQ88300           CL218190CL51000000020.000                    20171218MB1B                9I3    
8190           8190ZQ87840           CL218190CL51000000020.000                    20171218MB1B                9I3    
8190           8190ZQ88000           CL218190CL51000000020.000                    20171218MB1B                9I3    
8190           8190ZU02770           FL218190FL51000000020.000                    20171218MB1B                9I3    
8190           8190ZF37120           SXA28190SX21000000020.000                    20171218MB1B                9I3    
8190           8190ZF37120           SXA28190SX21000000020.000                    20171218MB1B                9I3    
8190           8190ZF37120           SXA28190SX21000000020.000                    20171218MB1B                9I3    
8190           8190ZF37600           SXA28190SX21000000020.000                    20171218MB1B                9I3    
8190           8190ZF37610           SXA28190SX21000000020.000                    20171218MB1B                9I3    
8190           8190ZF37610           SXA28190SX21000000020.000                    20171218MB1B                9I3    
8190           8190ZF37610           SXA28190SX21000000020.000                    20171218MB1B                9I3    
8190           8190ZF37610           SXA28190SX21000000020.000                    20171218MB1B                9I3    
8190           8190ZF37620           SXA28190SX21000000020.000                    20171218MB1B                9I3    
8190           8190ZF37620           SXA28190SX21000000020.000                    20171218MB1B                9I3    
8190           8190ZF37620           SXA28190SX21000000020.000                    20171218MB1B                9I3    
8190           8190ZF37620           SXA28190SX21000000020.000                    20171218MB1B                9I3    
8190           8190ZF37120           SXA28190SX21000000020.000                    20171218MB1B                9I3    
