8190           8190ZP62620           FLA08190FL91000000120.000                    20180609MB1B                9I3    
8190           8190ZP62620           FLA08190FL91000000120.000                    20180609MB1B                9I3    
8190           8190WY85000           SXA18190SX21000000005.000                    20180609MB1B                9I3    
8190           8190ZP65060           FLA08190FL91000000040.000                    20180609MB1B                9I3    
8190           8190ZP65060           FLA08190FL91000000040.000                    20180609MB1B                9I3    
8190           8190WY85000           SXA18190SX21000000005.000                    20180609MB1B                9I3    
8190           8190ZP64900           FLA08190FL91000000040.000                    20180609MB1B                9I3    
8190           8190WY85000           SXA18190SX21000000005.000                    20180609MB1B                9I3    
8190           8190ZR00630           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190WY85940           SXA18190SX21000000005.000                    20180609MB1B                9I3    
8190           8190ZR00630           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190WY85940           SXA18190SX21000000005.000                    20180609MB1B                9I3    
8190           8190ZR01010           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190ZR00730           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190ZR00730           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190ZR00730           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190WY85940           SXA18190SX21000000005.000                    20180609MB1B                9I3    
8190           8190ZR00730           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190ZR00730           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190WY85940           SXA18190SX21000000005.000                    20180609MB1B                9I3    
8190           8190ZR00600           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190ZR00600           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190ZR00310           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190ZQ93330           CL518190CL91000000020.000                    20180609MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180609MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180609MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180609MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180609MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180609MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180609MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180609MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180609MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180609MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180609MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180609MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180609MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180609MB1B                9I3    
8190           8190WF9464P           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZP64260           SXA08190SX21000000030.000                    20180609MB1B                9I3    
8190           8190ZP64260           SXA08190SX21000000030.000                    20180609MB1B                9I3    
8190           8190ZP67190           SXA08190SX21000000030.000                    20180609MB1B                9I3    
8190           8190ZP67190           SXA08190SX21000000030.000                    20180609MB1B                9I3    
8190           8190ZP67380           SXA08190SX21000000030.000                    20180609MB1B                9I3    
8190           8190ZP67380           SXA08190SX21000000030.000                    20180609MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180609MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180609MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180609MB1B                9I3    
8190           8190WF9195A           CL518190CL91000000025.000                    20180609MB1B                9I3    
8190           8190WF9195A           CL518190CL91000000025.000                    20180609MB1B                9I3    
8190           8190WF9195A           CL518190CL91000000025.000                    20180609MB1B                9I3    
8190           8190ZQ31620           FLA08190FL21000000010.000                    20180609MB1B                9I3    
8190           8190ZQ31620           FLA08190FL21000000010.000                    20180609MB1B                9I3    
8190           8190ZP66000           FLA08190FL21000000240.000                    20180609MB1B                9I3    
8190           8190ZP67840           FLA08190FL21000000010.000                    20180609MB1B                9I3    
8190           8190ZP67840           FLA08190FL21000000010.000                    20180609MB1B                9I3    
8190           8190ZP67840           FLA08190FL21000000010.000                    20180609MB1B                9I3    
8190           8190ZP67840           FLA08190FL21000000010.000                    20180609MB1B                9I3    
8190           8190ZP67780           FLA18190FL21000000010.000                    20180609MB1B                9I3    
8190           8190ZP67780           FLA18190FL21000000010.000                    20180609MB1B                9I3    
8190           8190ZP67800           FLA08190FL21000000010.000                    20180609MB1B                9I3    
8190           8190ZQ31620           FLA08190FL21000000010.000                    20180609MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20180609MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20180609MB1B                9I3    
8190           8190WF9195A           CL518190CL91000000025.000                    20180609MB1B                9I3    
8190           8190WF9195A           CL518190CL91000000025.000                    20180609MB1B                9I3    
8190           8190ZE20540           FLA18190FL21000000010.000                    20180609MB1B                9I3    
8190           8190ZE20540           FLA18190FL21000000010.000                    20180609MB1B                9I3    
8190           8190ZE20540           FLA18190FL21000000010.000                    20180609MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20180609MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20180609MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20180609MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20180609MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20180609MB1B                9I3    
