8190           8190ZT43850           FL218190FL51000000005.000                    20180707MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180707MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180707MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180707MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180707MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180707MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180707MB1B                9I3    
8190           8190ZU06220           FL218190FL51000000005.000                    20180707MB1B                9I3    
8190           8190ZU06220           FL218190FL51000000005.000                    20180707MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20180707MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20180707MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20180707MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20180707MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180707MB1B                9I3    
8190           8190ZA8986C           SX218190SX51000000001.000                    20180707MB1B                9I3    
8190           8190ZA8986C           SX218190SX51000000001.000                    20180707MB1B                9I3    
8190           8190ZA8986C           SX218190SX51000000001.000                    20180707MB1B                9I3    
8190           8190ZU06220           FL218190FL51000000005.000                    20180707MB1B                9I3    
8190           8190ZU02430           FL218190FL51000000005.000                    20180707MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20180707MB1B                9I3    
8190           8190ZQ91380           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ86000           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ86000           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ86000           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ86540           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ86540           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ86540           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20180707MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20180707MB1B                9I3    
