8190           8190ZR01650           SX218190SX51000000008.000                    20181212MB1B                9I3    
8190           8190ZQ98800           SX218190SX51000000008.000                    20181212MB1B                9I3    
8190           8190ZQ98870           SX218190SX51000000008.000                    20181212MB1B                9I3    
8190           8190ZQ98550           SX218190SX51000000008.000                    20181212MB1B                9I3    
8190           8190ZQ99100           SX218190SX51000000008.000                    20181212MB1B                9I3    
8190           8190ZQ99100           SX218190SX51000000008.000                    20181212MB1B                9I3    
8190           8190ZQ95040           SX218190SX51000000008.000                    20181212MB1B                9I3    
8190           8190ZQ96450           SX218190SX51000000008.000                    20181212MB1B                9I3    
8190           8190ZQ96450           SX218190SX51000000008.000                    20181212MB1B                9I3    
8190           8190ZQ86640           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ86540           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ83610           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ83610           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ83610           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ83610           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ89110           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ89110           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZS06170           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZS06170           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ95400           SX218190SX51000000008.000                    20181212MB1B                9I3    
8190           8190ZQ99100           SX218190SX51000000008.000                    20181212MB1B                9I3    
8190           8190ZQ95600           SX218190SX51000000008.000                    20181212MB1B                9I3    
8190           8190ZQ98110           SX218190SX51000000008.000                    20181212MB1B                9I3    
8190           8190ZQ98110           SX218190SX51000000008.000                    20181212MB1B                9I3    
8190           8190ZQ98110           SX218190SX51000000008.000                    20181212MB1B                9I3    
