8190           8190ZP62880           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP62990           FLA08190FL21000000500.000                    20180911MB1B                9I3    
8190           8190ZP62990           FLA08190FL21000000500.000                    20180911MB1B                9I3    
8190           8190ZP63030           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP63030           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP63100           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP63100           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP63100           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP63180           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP63180           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP63380           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP63490           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP63490           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP63490           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP63490           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP63490           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP63120           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP67050           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP64070           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP64070           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP64070           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP64070           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZT44660           FL218190FL51000000020.000                    20180911MB1B                9I3    
8190           8190ZT44660           FL218190FL51000000020.000                    20180911MB1B                9I3    
8190           8190ZT44660           FL218190FL51000000020.000                    20180911MB1B                9I3    
8190           8190ZT44180           FL218190FL51000000020.000                    20180911MB1B                9I3    
8190           8190ZT44880           FL218190FL51000000020.000                    20180911MB1B                9I3    
8190           8190ZT45260           FL218190FL51000000020.000                    20180911MB1B                9I3    
8190           8190ZT44180           FL218190FL51000000020.000                    20180911MB1B                9I3    
8190           8190ZT45260           FL218190FL51000000020.000                    20180911MB1B                9I3    
8190           8190ZT44660           FL218190FL51000000020.000                    20180911MB1B                9I3    
8190           8190ZP64070           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP64070           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP63390           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP63390           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP63390           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP63390           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP63390           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP66480           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP66580           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP63730           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP63720           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP63730           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP63730           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP63730           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP64010           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP64010           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP65050           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP64010           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP64070           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZT44880           FL218190FL51000000020.000                    20180911MB1B                9I3    
8190           8190ZT45800           FL218190FL51000000020.000                    20180911MB1B                9I3    
8190           8190ZQ99010           SX218190SX51000000008.000                    20180911MB1B                9I3    
8190           8190ZQ99010           SX218190SX51000000008.000                    20180911MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20180911MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20180911MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20180911MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20180911MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20180911MB1B                9I3    
8190           8190ZQ84100           SX218190SX51000000015.000                    20180911MB1B                9I3    
8190           8190ZQ84100           SX218190SX51000000015.000                    20180911MB1B                9I3    
8190           8190ZQ84100           SX218190SX51000000015.000                    20180911MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20180911MB1B                9I3    
8190           8190ZQ84860           SX218190SX51000000015.000                    20180911MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20180911MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20180911MB1B                9I3    
8190           8190ZQ88520           SX218190SX51000000015.000                    20180911MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20180911MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20180911MB1B                9I3    
