8190           8190ZP63000           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP63000           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP63250           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP63250           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP62820           FLA08190FL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP62880           FLA08190FL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP63530           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP62880           FLA08190FL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP63530           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP63530           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP63400           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP63360           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP63360           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP63270           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP63270           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP62920           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZE22640           FLA28190FL21000000030.000                    20190402MB1B                9I3    
8190           8190ZP61930           CLA08190CL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP61960           CLA08190CL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP61950           CLA08190CL21000000100.000                    20190402MB1B                9I3    
8190           8190ZP61950           CLA08190CL21000000100.000                    20190402MB1B                9I3    
8190           8190ZP61950           CLA08190CL21000000100.000                    20190402MB1B                9I3    
8190           8190ZP61950           CLA08190CL21000000100.000                    20190402MB1B                9I3    
8190           8190ZV15070           CLA08190CL21000000040.000                    20190402MB1B                9I3    
8190           8190ZV15070           CLA08190CL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP62560           CLA08190CL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP62150           CLA08190CL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP61930           CLA08190CL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP61610           CLA08190CL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP61610           CLA08190CL21000000040.000                    20190402MB1B                9I3    
8190           8190ZE22640           FLA28190FL21000000030.000                    20190402MB1B                9I3    
8190           8190ZE22640           FLA28190FL21000000030.000                    20190402MB1B                9I3    
8190           8190ZE22640           FLA28190FL21000000030.000                    20190402MB1B                9I3    
8190           8190ZE22640           FLA28190FL21000000030.000                    20190402MB1B                9I3    
8190           8190ZE22640           FLA28190FL21000000030.000                    20190402MB1B                9I3    
8190           8190ZE22640           FLA28190FL21000000030.000                    20190402MB1B                9I3    
8190           8190ZE22640           FLA28190FL21000000030.000                    20190402MB1B                9I3    
8190           8190ZP61390           CLA08190CL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP61390           CLA08190CL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP61610           CLA08190CL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP62130           CLA08190CL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP62130           CLA08190CL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP62110           CLA08190CL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP61980           CLA08190CL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP61970           CLA08190CL21000000040.000                    20190402MB1B                9I3    
8190           8190ZV15070           CLA08190CL21000000040.000                    20190402MB1B                9I3    
8190           8190ZV15070           CLA08190CL21000000040.000                    20190402MB1B                9I3    
8190           8190ZV15070           CLA08190CL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP64100           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP64100           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP64100           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP64100           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP64100           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP61990           CLA08190CL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP62000           CLA08190CL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP62000           CLA08190CL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP62030           CLA08190CL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP62030           CLA08190CL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP62010           CLA08190CL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP62010           CLA08190CL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP62000           CLA08190CL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP64100           SXA08190SX21000000030.000                    20190402MB1B                9I3    
