8190           8190ZP63100           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP63100           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP63030           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP63030           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP63030           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP62710           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP67690           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZT45170           FL218190FL51000000020.000                    20180113MB1B                9I3    
8190           8190ZT44660           FL218190FL51000000020.000                    20180113MB1B                9I3    
8190           8190ZP67670           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP67670           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP67670           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP67620           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP67620           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP67620           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP67620           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP67620           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZT45170           FL218190FL51000000020.000                    20180113MB1B                9I3    
8190           8190ZT43910           FL218190FL51000000020.000                    20180113MB1B                9I3    
8190           8190ZT44270           FL218190FL51000000020.000                    20180113MB1B                9I3    
8190           8190ZU02910           FL218190FL51000000020.000                    20180113MB1B                9I3    
8190           8190ZP67690           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZT44880           FL218190FL51000000020.000                    20180113MB1B                9I3    
8190           8190ZP67690           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZT45860           FL218190FL51000000020.000                    20180113MB1B                9I3    
8190           8190ZP67690           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZT44880           FL218190FL51000000020.000                    20180113MB1B                9I3    
8190           8190ZP67690           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZT44880           FL218190FL51000000020.000                    20180113MB1B                9I3    
8190           8190ZP67690           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP67590           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP67590           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP67590           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP67470           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP67470           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP67470           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP67470           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP67450           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP67350           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP67350           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP67350           SXA08190SX21000000030.000                    20180113MB1B                9I3    
