8190           8190ZP62710           FLA08190FL21000000040.000                    20171211MB1B                9I3    
8190           8190ZP62710           FLA08190FL21000000040.000                    20171211MB1B                9I3    
8190           8190ZP62710           FLA08190FL21000000040.000                    20171211MB1B                9I3    
8190           8190ZP62670           FLA08190FL21000000100.000                    20171211MB1B                9I3    
8190           8190ZP62670           FLA08190FL21000000100.000                    20171211MB1B                9I3    
8190           8190WF9814E           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190WF9814E           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190ZQ86670           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190WF9814E           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190WF9814E           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190WF9814E           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190WF9814E           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190WF9814E           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190WF9814E           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190WF9814E           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190WF9814E           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190WF9814E           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190ZP62670           FLA08190FL21000000100.000                    20171211MB1B                9I3    
8190           8190ZP62710           FLA08190FL21000000040.000                    20171211MB1B                9I3    
8190           8190ZQ11690           SX518190SX91000000050.000                    20171211MB1B                9I3    
8190           8190ZQ11690           SX518190SX91000000050.000                    20171211MB1B                9I3    
8190           8190ZP62880           FLA08190FL21000000040.000                    20171211MB1B                9I3    
8190           8190ZP62880           FLA08190FL21000000040.000                    20171211MB1B                9I3    
8190           8190ZP62990           FLA08190FL21000000500.000                    20171211MB1B                9I3    
8190           8190ZP62990           FLA08190FL21000000500.000                    20171211MB1B                9I3    
8190           8190ZP63030           FLA08190FL21000000040.000                    20171211MB1B                9I3    
8190           8190ZP63380           FLA08190FL21000000040.000                    20171211MB1B                9I3    
8190           8190ZP63380           FLA08190FL21000000040.000                    20171211MB1B                9I3    
8190           8190ZP63420           FLA08190FL21000000040.000                    20171211MB1B                9I3    
8190           8190ZP63420           FLA08190FL21000000040.000                    20171211MB1B                9I3    
8190           8190ZP63420           FLA08190FL21000000040.000                    20171211MB1B                9I3    
8190           8190ZP63470           FLA08190FL21000000040.000                    20171211MB1B                9I3    
8190           8190ZP63490           FLA08190FL21000000040.000                    20171211MB1B                9I3    
8190           8190ZP63490           FLA08190FL21000000040.000                    20171211MB1B                9I3    
8190           8190ZP62880           FLA08190FL21000000040.000                    20171211MB1B                9I3    
8190           8190ZP62900           FLA08190FL21000000040.000                    20171211MB1B                9I3    
8190           8190ZP62720           FLA08190FL21000000040.000                    20171211MB1B                9I3    
8190           8190ZP62720           FLA08190FL21000000040.000                    20171211MB1B                9I3    
8190           8190ZP62770           FLA08190FL21000000040.000                    20171211MB1B                9I3    
8190           8190ZP62790           FLA08190FL21000000040.000                    20171211MB1B                9I3    
8190           8190ZP62810           FLA08190FL21000000040.000                    20171211MB1B                9I3    
8190           8190ZP62810           FLA08190FL21000000040.000                    20171211MB1B                9I3    
8190           8190ZP62810           FLA08190FL21000000040.000                    20171211MB1B                9I3    
8190           8190ZP62820           FLA08190FL21000000040.000                    20171211MB1B                9I3    
8190           8190ZP62820           FLA08190FL21000000040.000                    20171211MB1B                9I3    
8190           8190ZP62820           FLA08190FL21000000040.000                    20171211MB1B                9I3    
8190           8190ZP62860           FLA08190FL21000000040.000                    20171211MB1B                9I3    
8190           8190ZP62900           FLA08190FL21000000040.000                    20171211MB1B                9I3    
8190           8190ZP62900           FLA08190FL21000000040.000                    20171211MB1B                9I3    
8190           8190ZP63500           FLA08190FL21000000040.000                    20171211MB1B                9I3    
8190           8190ZQ84100           SX218190SX51000000015.000                    20171211MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20171211MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20171211MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20171211MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20171211MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20171211MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20171211MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20171211MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20171211MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20171211MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20171211MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20171211MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190WZ91840           SX518190SX91000000001.000                    20171211MB1B                9I3    
8190           8190ZK50340           SXA18190SX21000000005.000                    20171211MB1B                9I3    
8190           8190ZK50340           SXA18190SX21000000005.000                    20171211MB1B                9I3    
8190           8190ZK50340           SXA18190SX21000000005.000                    20171211MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20171211MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20171211MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20171211MB1B                9I3    
8190           8190WF9525C           SX218190SX51000000001.000                    20171211MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171211MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171211MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171211MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171211MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171211MB1B                9I3    
8190           8190ZT24080           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190ZQ94930           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190ZT45450           FL218190FL51000000020.000                    20171211MB1B                9I3    
8190           8190ZT91380           FL218190FL51000000020.000                    20171211MB1B                9I3    
8190           8190ZQ94930           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190ZT45070           FL218190FL51000000020.000                    20171211MB1B                9I3    
8190           8190ZQ94930           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190WF9525C           SX218190SX51000000001.000                    20171211MB1B                9I3    
8190           8190WF9525C           SX218190SX51000000001.000                    20171211MB1B                9I3    
8190           8190WF9525C           SX218190SX51000000001.000                    20171211MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20171211MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20171211MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20171211MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20171211MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20171211MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20171211MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20171211MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20171211MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190WF9525C           SX218190SX51000000001.000                    20171211MB1B                9I3    
8190           8190ZT45640           FL218190FL51000000020.000                    20171211MB1B                9I3    
8190           8190ZQ96450           SX218190SX51000000008.000                    20171211MB1B                9I3    
8190           8190ZU24290           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZU24290           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZU24290           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZU24290           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZU24290           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZU24290           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZU24290           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZQ96450           SX218190SX51000000008.000                    20171211MB1B                9I3    
8190           8190ZQ96450           SX218190SX51000000008.000                    20171211MB1B                9I3    
8190           8190ZQ96450           SX218190SX51000000008.000                    20171211MB1B                9I3    
8190           8190ZQ96620           SX218190SX51000000008.000                    20171211MB1B                9I3    
8190           8190ZQ96620           SX218190SX51000000008.000                    20171211MB1B                9I3    
8190           8190ZQ96960           SX218190SX51000000008.000                    20171211MB1B                9I3    
8190           8190ZQ96960           SX218190SX51000000008.000                    20171211MB1B                9I3    
8190           8190ZQ95480           SX218190SX51000000008.000                    20171211MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZU06190           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20171211MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20171211MB1B                9I3    
8190           8190ZU02400           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZU02400           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZU02400           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZU02400           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20171211MB1B                9I3    
