8190           8190ZR48720           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZR48720           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZU24080           FLA18190FL51000000005.000                    20181004MB1B                9I3    
8190           8190ZR48720           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP61970           CLA08190CL21000000040.000                    20181004MB1B                9I3    
8190           8190ZP61980           CLA08190CL21000000040.000                    20181004MB1B                9I3    
8190           8190ZP61990           CLA08190CL21000000040.000                    20181004MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20181004MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20181004MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20181004MB1B                9I3    
8190           8190ZP62070           CLA08190CL21000000040.000                    20181004MB1B                9I3    
8190           8190ZP62030           CLA08190CL21000000040.000                    20181004MB1B                9I3    
8190           8190ZP62020           CLA08190CL21000000040.000                    20181004MB1B                9I3    
8190           8190ZP62020           CLA08190CL21000000040.000                    20181004MB1B                9I3    
8190           8190ZP62010           CLA08190CL21000000040.000                    20181004MB1B                9I3    
8190           8190ZP62010           CLA08190CL21000000040.000                    20181004MB1B                9I3    
8190           8190ZP62000           CLA08190CL21000000040.000                    20181004MB1B                9I3    
8190           8190ZR48720           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZU24080           FLA18190FL51000000005.000                    20181004MB1B                9I3    
8190           8190ZR23210           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20181004MB1B                9I3    
