8190           8190ZQ84490           SX218190SX51000000015.000                    20181120MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20181120MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20181120MB1B                9I3    
8190           8190ZQ84860           SX218190SX51000000015.000                    20181120MB1B                9I3    
8190           8190ZQ84860           SX218190SX51000000015.000                    20181120MB1B                9I3    
8190           8190ZQ84100           SX218190SX51000000015.000                    20181120MB1B                9I3    
8190           8190ZF2087C           SX218190SX51000000015.000                    20181120MB1B                9I3    
8190           8190ZF2087C           SX218190SX51000000015.000                    20181120MB1B                9I3    
8190           8190ZF2087C           SX218190SX51000000015.000                    20181120MB1B                9I3    
8190           8190ZF2087C           SX218190SX51000000015.000                    20181120MB1B                9I3    
8190           8190ZQ85910           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ88380           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ88380           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ84310           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20181120MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20181120MB1B                9I3    
8190           8190ZQ84100           SX218190SX51000000015.000                    20181120MB1B                9I3    
8190           8190ZQ88520           SX218190SX51000000015.000                    20181120MB1B                9I3    
8190           8190ZQ88520           SX218190SX51000000015.000                    20181120MB1B                9I3    
8190           8190ZQ88520           SX218190SX51000000015.000                    20181120MB1B                9I3    
8190           8190ZQ89110           SX218190SX51000000015.000                    20181120MB1B                9I3    
8190           8190ZQ89110           SX218190SX51000000015.000                    20181120MB1B                9I3    
8190           8190ZQ89110           SX218190SX51000000015.000                    20181120MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20181120MB1B                9I3    
8190           8190ZQ83910           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ84070           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94800           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ95280           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ98020           SX518190SX91000000008.000                    20181120MB1B                9I3    
8190           8190ZQ95460           SX518190SX91000000008.000                    20181120MB1B                9I3    
8190           8190ZQ95460           SX518190SX91000000008.000                    20181120MB1B                9I3    
8190           8190ZQ95460           SX518190SX91000000008.000                    20181120MB1B                9I3    
8190           8190ZQ96060           SX518190SX91000000008.000                    20181120MB1B                9I3    
8190           8190ZQ96060           SX518190SX91000000008.000                    20181120MB1B                9I3    
8190           8190ZQ94800           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZF2087A           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ89210           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ89210           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ89210           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94310           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94310           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94310           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94310           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94310           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ98980           SX518190SX91000000008.000                    20181120MB1B                9I3    
8190           8190ZQ98980           SX518190SX91000000008.000                    20181120MB1B                9I3    
8190           8190ZQ98980           SX518190SX91000000008.000                    20181120MB1B                9I3    
8190           8190ZQ95220           SX518190SX91000000008.000                    20181120MB1B                9I3    
8190           8190ZQ98530           SX518190SX91000000008.000                    20181120MB1B                9I3    
8190           8190ZQ98530           SX518190SX91000000008.000                    20181120MB1B                9I3    
8190           8190ZQ98530           SX518190SX91000000008.000                    20181120MB1B                9I3    
8190           8190ZQ11690           SX518190SX91000000050.000                    20181120MB1B                9I3    
8190           8190ZQ11690           SX518190SX91000000050.000                    20181120MB1B                9I3    
8190           8190ZQ11690           SX518190SX91000000050.000                    20181120MB1B                9I3    
8190           8190ZV28530           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ98180           SX518190SX91000000008.000                    20181120MB1B                9I3    
8190           8190ZQ99170           SX518190SX91000000008.000                    20181120MB1B                9I3    
8190           8190ZQ96210           SX518190SX91000000008.000                    20181120MB1B                9I3    
8190           8190ZQ96210           SX518190SX91000000008.000                    20181120MB1B                9I3    
8190           8190ZQ99270           SX518190SX91000000008.000                    20181120MB1B                9I3    
8190           8190ZQ99270           SX518190SX91000000008.000                    20181120MB1B                9I3    
8190           8190ZQ99270           SX518190SX91000000008.000                    20181120MB1B                9I3    
8190           8190ZQ98420           SX518190SX91000000008.000                    20181120MB1B                9I3    
8190           8190ZQ98420           SX518190SX91000000008.000                    20181120MB1B                9I3    
8190           8190ZQ95890           SX518190SX91000000008.000                    20181120MB1B                9I3    
8190           8190ZV28530           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ84070           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ88290           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ95180           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94910           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94910           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94910           SX518190SX91000000015.000                    20181120MB1B                9I3    
