8190           8190ZT45980           FL218190FL51000000020.000                    20180924MB1B                9I3    
8190           8190ZT43910           FL218190FL51000000020.000                    20180924MB1B                9I3    
8190           8190ZT43910           FL218190FL51000000020.000                    20180924MB1B                9I3    
8190           8190ZT43910           FL218190FL51000000020.000                    20180924MB1B                9I3    
8190           8190ZU02550           FL218190FL51000000020.000                    20180924MB1B                9I3    
8190           8190ZT44660           FL218190FL51000000020.000                    20180924MB1B                9I3    
8190           8190ZT45590           FL218190FL51000000020.000                    20180924MB1B                9I3    
8190           8190ZT45590           FL218190FL51000000020.000                    20180924MB1B                9I3    
8190           8190ZT45590           FL218190FL51000000020.000                    20180924MB1B                9I3    
8190           8190ZT45710           FL218190FL51000000020.000                    20180924MB1B                9I3    
8190           8190ZT45710           FL218190FL51000000020.000                    20180924MB1B                9I3    
8190           8190ZT45710           FL218190FL51000000020.000                    20180924MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20180924MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20180924MB1B                9I3    
8190           8190ZT44660           FL218190FL51000000020.000                    20180924MB1B                9I3    
8190           8190ZU02650           FL218190FL51000000020.000                    20180924MB1B                9I3    
8190           8190ZT45800           FL218190FL51000000020.000                    20180924MB1B                9I3    
8190           8190ZT45450           FL218190FL51000000020.000                    20180924MB1B                9I3    
8190           8190ZT45860           FL218190FL51000000020.000                    20180924MB1B                9I3    
8190           8190ZT45860           FL218190FL51000000020.000                    20180924MB1B                9I3    
8190           8190ZT45920           FL218190FL51000000020.000                    20180924MB1B                9I3    
8190           8190ZT45720           FL218190FL51000000020.000                    20180924MB1B                9I3    
8190           8190ZT45260           FL218190FL51000000020.000                    20180924MB1B                9I3    
8190           8190ZU06270           FL218190FL51000000020.000                    20180924MB1B                9I3    
8190           8190ZU06480           FL218190FL51000000020.000                    20180924MB1B                9I3    
8190           8190ZU06380           FL218190FL51000000020.000                    20180924MB1B                9I3    
8190           8190ZT45800           FL218190FL51000000020.000                    20180924MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20180924MB1B                9I3    
8190           8190ZP61950           CLA08190CL21000000100.000                    20180924MB1B                9I3    
8190           8190ZV15070           CLA08190CL21000000040.000                    20180924MB1B                9I3    
8190           8190ZV15070           CLA08190CL21000000040.000                    20180924MB1B                9I3    
8190           8190ZV15070           CLA08190CL21000000040.000                    20180924MB1B                9I3    
8190           8190ZV15070           CLA08190CL21000000040.000                    20180924MB1B                9I3    
8190           8190ZV15070           CLA08190CL21000000040.000                    20180924MB1B                9I3    
8190           8190ZV15070           CLA08190CL21000000040.000                    20180924MB1B                9I3    
8190           8190ZV15070           CLA08190CL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP62160           CLA08190CL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP62160           CLA08190CL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP62140           CLA08190CL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP90570           FLA08190FL51000000040.000                    20180924MB1B                9I3    
8190           8190ZP61390           CLA08190CL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP61590           CLA08190CL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP61950           CLA08190CL21000000100.000                    20180924MB1B                9I3    
8190           8190ZP61940           CLA08190CL21000000100.000                    20180924MB1B                9I3    
8190           8190ZP61920           CLA08190CL21000000100.000                    20180924MB1B                9I3    
8190           8190ZP61920           CLA08190CL21000000100.000                    20180924MB1B                9I3    
8190           8190ZP61960           CLA08190CL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP61930           CLA08190CL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP61420           CLA08190CL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP61420           CLA08190CL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP61420           CLA08190CL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP61590           CLA08190CL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP62140           CLA08190CL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP62180           CLA08190CL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP62180           CLA08190CL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP62130           CLA08190CL21000000040.000                    20180924MB1B                9I3    
8190           8190ZE22560           FLA28190FL21000000030.000                    20180924MB1B                9I3    
8190           8190ZP62130           CLA08190CL21000000040.000                    20180924MB1B                9I3    
8190           8190ZE22560           FLA28190FL21000000030.000                    20180924MB1B                9I3    
8190           8190ZE22560           FLA28190FL21000000030.000                    20180924MB1B                9I3    
8190           8190ZP62110           CLA08190CL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP62110           CLA08190CL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP62100           CLA08190CL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP62100           CLA08190CL21000000040.000                    20180924MB1B                9I3    
8190           8190ZE22600           FLA28190FL21000000030.000                    20180924MB1B                9I3    
8190           8190ZE22560           FLA28190FL21000000030.000                    20180924MB1B                9I3    
8190           8190ZP62130           CLA08190CL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP62150           CLA08190CL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP62170           CLA08190CL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP62560           CLA08190CL21000000040.000                    20180924MB1B                9I3    
