8190           8190ZP66240           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZP66240           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZP66240           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZP66240           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZP66220           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZP66220           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190WQ4642E           SX218190SX51000000005.000                    20171205MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20171205MB1B                9I3    
8190           8190ZQ95600           SX218190SX51000000008.000                    20171205MB1B                9I3    
8190           8190ZR23210           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZP67710           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZP67710           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZP67710           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZQ99290           SX218190SX51000000008.000                    20171205MB1B                9I3    
8190           8190ZP67690           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZP67690           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZP67690           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZP67690           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZP67690           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZP67690           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZP67710           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZP67710           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZP67740           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZR23200           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZP67770           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZP67770           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZP67770           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZP67760           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZP67760           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZP67740           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZP67690           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZP67670           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZP67670           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZP67440           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZQ96090           SX218190SX51000000008.000                    20171205MB1B                9I3    
8190           8190ZQ98440           SX218190SX51000000008.000                    20171205MB1B                9I3    
8190           8190ZP67440           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZQ98440           SX218190SX51000000008.000                    20171205MB1B                9I3    
8190           8190ZQ98440           SX218190SX51000000008.000                    20171205MB1B                9I3    
8190           8190ZQ96010           SX218190SX51000000008.000                    20171205MB1B                9I3    
8190           8190ZQ95770           SX218190SX51000000008.000                    20171205MB1B                9I3    
8190           8190ZP67480           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZP67480           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZQ99010           SX218190SX51000000008.000                    20171205MB1B                9I3    
