8190           8190ZU24050           FLA18190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZQ91970           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190ZQ91970           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190ZQ87660           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190ZQ91900           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190ZQ87840           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190ZT44880           FL218190FL51000000020.000                    20180216MB1B                9I3    
8190           8190ZT44880           FL218190FL51000000020.000                    20180216MB1B                9I3    
8190           8190ZT45070           FL218190FL51000000020.000                    20180216MB1B                9I3    
8190           8190ZT45070           FL218190FL51000000020.000                    20180216MB1B                9I3    
8190           8190ZT45070           FL218190FL51000000020.000                    20180216MB1B                9I3    
8190           8190ZT45170           FL218190FL51000000020.000                    20180216MB1B                9I3    
8190           8190ZT45170           FL218190FL51000000020.000                    20180216MB1B                9I3    
8190           8190ZQ89740           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190ZQ87760           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190ZQ87660           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190ZQ90160           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190ZQ90160           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190ZQ90160           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190ZQ89940           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190ZQ90390           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190ZQ90160           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190ZQ89650           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190ZQ87760           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190ZT45170           FL218190FL51000000020.000                    20180216MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZU02980           FLA18190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZP63890           FLA08190FL21000000040.000                    20180216MB1B                9I3    
8190           8190ZP63630           FLA08190FL21000000040.000                    20180216MB1B                9I3    
8190           8190ZP63630           FLA08190FL21000000040.000                    20180216MB1B                9I3    
8190           8190ZP63630           FLA08190FL21000000040.000                    20180216MB1B                9I3    
8190           8190ZP63630           FLA08190FL21000000040.000                    20180216MB1B                9I3    
8190           8190W53542A           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190ZP61620           CLA08190CL21000000020.000                    20180216MB1B                9I3    
8190           8190ZP61620           CLA08190CL21000000020.000                    20180216MB1B                9I3    
8190           8190ZP61620           CLA08190CL21000000020.000                    20180216MB1B                9I3    
8190           8190ZP63890           FLA08190FL21000000040.000                    20180216MB1B                9I3    
8190           8190ZP63890           FLA08190FL21000000040.000                    20180216MB1B                9I3    
8190           8190W53414A           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190ZP67940           SXA08190VN21000000030.000                    20180216MB1B                9I3    
8190           8190ZP67940           SXA08190VN21000000030.000                    20180216MB1B                9I3    
8190           8190ZP67940           SXA08190VN21000000030.000                    20180216MB1B                9I3    
8190           8190ZP67940           SXA08190VN21000000030.000                    20180216MB1B                9I3    
8190           8190ZP67940           SXA08190VN21000000030.000                    20180216MB1B                9I3    
8190           8190ZP67940           SXA08190VN21000000030.000                    20180216MB1B                9I3    
8190           8190ZP67940           SXA08190VN21000000030.000                    20180216MB1B                9I3    
8190           8190ZP63780           FLA08190FL21000000040.000                    20180216MB1B                9I3    
8190           8190ZP61620           CLA08190CL21000000020.000                    20180216MB1B                9I3    
8190           8190ZP61490           CLA08190CL21000000020.000                    20180216MB1B                9I3    
8190           8190ZP61490           CLA08190CL21000000020.000                    20180216MB1B                9I3    
